GEOID,total.x,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita,population,total.y,black,latino,percentage.black,percentage.latino
17031190800,2029,94,102,95,178,252,92,279,112,44,223,308,108,91,8,0,43,15294,9.63521587360417,7297,7297,425,6297,0.05824311360833219,0.8629573797451007
17031190900,627,115,0,0,39,81,17,94,0,52,5,43,135,39,4,3,0,15911,9.674765972907856,2007,2007,200,1516,0.09965122072745392,0.7553562531141006
17031191000,599,75,60,8,43,0,20,125,0,0,52,154,56,6,0,0,0,12356,9.421897054038473,2263,2263,126,2105,0.05567830313742819,0.930181175430844
17031191100,2077,100,172,212,231,141,123,160,66,147,208,173,243,16,37,48,0,12449,9.429395577381786,8249,8249,952,6384,0.1154079282337253,0.7739119893320402
17031191200,943,76,151,37,137,59,63,25,83,94,23,55,103,16,14,0,7,10523,9.261318616740812,3804,3804,565,2763,0.148527865404837,0.7263406940063092
17031200100,1309,66,17,68,85,236,81,56,99,99,50,84,178,52,91,38,9,17897,9.792388380017409,4492,4492,87,3345,0.019367764915405164,0.7446571682991986
17031200200,1676,77,44,178,74,130,172,30,23,152,178,287,149,94,56,24,8,17448,9.766980307881465,5552,5552,82,4677,0.014769452449567724,0.8423991354466859
17031200300,669,56,88,43,47,44,12,11,64,30,44,95,94,0,41,0,0,14739,9.5982523208367585,2241,2241,58,1870,0.025881302989736725,0.8344489067380634
17031210100,1460,92,21,41,48,96,54,47,173,56,130,190,200,110,80,41,81,24341,10.099917450331914,4660,4660,323,2521,0.06931330472103005,0.5409871244635193
17031210400,901,67,55,86,65,20,54,65,114,59,68,75,146,0,0,18,9,18855,9.844533409692458,2415,2415,65,1442,0.026915113871635612,0.5971014492753624
17031210700,1702,49,91,87,121,210,49,131,52,78,239,174,149,185,48,30,9,20721,9.938902957757083,4939,4939,245,3112,0.04960518323547277,0.6300870621583317
17031210800,445,62,20,54,12,0,0,24,17,22,21,38,105,61,9,0,0,17952,9.795456808322422,1450,1450,29,1140,0.02,0.7862068965517242
17031210900,1221,83,11,85,42,78,95,120,10,77,121,108,102,138,61,59,31,26879,10.199100591564108,3076,3076,55,1741,0.01788036410923277,0.5659947984395318
17031220300,1038,53,8,52,77,45,34,16,33,69,50,258,153,56,21,88,25,28660,10.263257701382162,2648,2648,104,989,0.03927492447129909,0.3734894259818731
17031220400,1267,78,83,75,58,117,85,36,25,41,80,134,177,99,92,36,51,32968,10.403292673018653,2741,2741,153,1116,0.05581904414447282,0.4071506749361547
17031220500,1286,97,61,12,0,40,72,38,53,20,91,182,169,112,115,180,44,37759,10.538979136857908,3119,3119,229,1146,0.07342096825905739,0.36742545687720424
17031221000,1059,110,114,110,62,61,64,74,64,28,59,99,139,75,0,0,0,17548,9.772695262286105,2726,2726,466,1648,0.17094644167278064,0.6045487894350697
17031221100,2069,173,144,151,221,106,182,163,115,58,194,116,275,112,24,0,35,17123,9.748177867988971,6034,6034,601,3762,0.09960225389459729,0.6234670202187603
17031221200,1038,38,68,68,34,108,34,52,35,59,67,99,116,192,0,21,47,30177,10.314835323802448,2472,2472,205,1186,0.08292880258899676,0.4797734627831715
17031221300,1275,118,119,100,44,84,126,108,49,71,30,148,61,75,62,42,38,24546,10.108304187157454,3035,3035,154,1739,0.05074135090609555,0.5729818780889621
17031221400,1074,103,93,0,101,71,113,60,55,60,47,147,127,24,11,51,11,19136,9.859326656750358,3092,3092,48,2435,0.015523932729624839,0.78751617076326
17031221500,1559,202,173,121,59,48,63,57,39,61,75,154,230,187,56,19,15,26752,10.194364515884429,3508,3508,178,1634,0.05074116305587229,0.4657924743443558
17031221600,1404,53,9,37,72,63,48,46,28,126,129,247,138,140,87,53,128,47841,10.775638291416081,2726,2726,21,729,0.007703595011005136,0.2674247982391783
17031222200,995,42,22,2,48,78,5,20,24,27,66,67,122,67,66,180,159,61647,11.02917984560798,2075,2075,58,245,0.027951807228915663,0.1180722891566265
17031222500,571,51,9,83,30,26,118,0,34,9,36,54,30,45,42,0,4,18921,9.84802769533176,1549,1549,173,1080,0.11168495803744351,0.697224015493867
