gang,area_mean
gangster disciples,62174967.953662165
black p stones,20102264.14144408
latin kings,17233510.78219995
vice lords,14736137.95589931
two-six,10871098.971070563
black disciples,8423068.930575276
satan disciples,7507084.067591596
four corner hustlers,7240534.488965746
maniac latin disciples,4808600.1193295205
spanish cobras,2568271.143715367
mickey cobras,2141084.451341186
new breed,1983889.5603649362
imperial gangsters,1662676.79029262
latin counts,1473505.1853528535
la familia stones,1439211.6076920803
krazy getdown boys,1378885.9569889847
spanish four corner hustlers,1249179.7659114043
black souls,1139968.5982509404
insane deuces,1131432.627258981
la raza,996909.8894200285
simon city royals,986393.6626818079
ambrose,953203.5584436667
latin dragons,577657.5535110293
pachucos,549324.7508834312
bishops,534409.8969718462
latin saints,525171.0125804973
insane dragons,518147.857536021
latin brothers organization,505183.17467748997
insane cullerton deuces,492863.6578206903
spanish gangster disciples,471318.18226690986
orchestra albany,470494.3000294119
insane popes,434362.3907059365
other,399284.61641174584
harrison gents,386141.01119786076
young latin organization disciples,355592.9728701882
young latin organization cobras,343621.83100069844
spanish vice lords,339005.6084344433
milwaukee kings,300364.07925194496
latin stylers,298118.2439017221
party people,286186.8101789644
c-notes,258152.63207040998
latin lovers,225874.66510807755
spanish lords,190431.02825031863
party players,162544.31292037285
city knights,141522.06966020958
latin eagles,132604.99635209626
insane unknowns,119012.1705270669
ashland vikings,109791.99499048259
crazy latin boys,108368.03193120287
latin jivers,105426.61244688001
two-two boys,73365.63634348931
latin souls,54568.205243025026
campbell boys,41793.3610772451
morgan boys,16217.899825428532
12th street players,14586.179690882253
unknown,12762.528012017969
