year,gang,area
2004,12th street players,4816.489145645966
2005,12th street players,4816.489145645966
2006,12th street players,4816.489145645966
2007,12th street players,4816.489145645966
2008,12th street players,4816.489145645966
2012,12th street players,22960.586266394705
2013,12th street players,22960.586266394705
2014,12th street players,22806.742486753312
2015,12th street players,22545.91595072388
2016,12th street players,22545.849950604177
2017,12th street players,22545.849950604177
2004,ambrose,986815.6010324063
2005,ambrose,986815.6010324063
2006,ambrose,986815.6010324063
2007,ambrose,988294.2170281566
2008,ambrose,988294.2170281566
2009,ambrose,550552.1692114472
2010,ambrose,550552.1692114472
2011,ambrose,550552.1692114472
2012,ambrose,1127399.315143657
2013,ambrose,1127399.315143657
2014,ambrose,1125339.933111383
2015,ambrose,1125339.933111383
2016,ambrose,1125339.7884566896
2017,ambrose,1125339.7884566896
2004,ashland vikings,85562.14525522955
2005,ashland vikings,139092.52362585667
2006,ashland vikings,139092.52362585667
2007,ashland vikings,139092.52362585667
2008,ashland vikings,139092.52362585667
2009,ashland vikings,157370.43196587777
2010,ashland vikings,157370.43196587777
2011,ashland vikings,157370.43196587777
2012,ashland vikings,110675.68322182127
2013,ashland vikings,110675.68322182127
2014,ashland vikings,91381.63915292108
2015,ashland vikings,60611.61161779871
2016,ashland vikings,24849.8884980522
2017,ashland vikings,24849.8884980522
2004,bishops,371468.7565960703
2005,bishops,371468.7565960703
2006,bishops,371468.7565960703
2007,bishops,371468.7565960703
2008,bishops,371468.7565960703
2009,bishops,404175.8263573204
2010,bishops,404175.8263573204
2011,bishops,404175.8263573204
2012,bishops,763306.3118061328
2013,bishops,763306.3118061328
2014,bishops,721313.7066691496
2015,bishops,721313.7066691496
2016,bishops,721313.6293014849
2017,bishops,721313.6293014849
2004,black disciples,8488098.943672534
2005,black disciples,8544140.185103891
2006,black disciples,8510530.193214659
2007,black disciples,7399100.72122612
2008,black disciples,7866602.894091092
2009,black disciples,8304622.488057308
2010,black disciples,8304622.488057308
2011,black disciples,8304622.488057308
2012,black disciples,7056482.719621862
2013,black disciples,7056482.719621862
2014,black disciples,8802721.186698388
2015,black disciples,9953684.550636271
2016,black disciples,9813629.259901132
2017,black disciples,9517624.190094128
2004,black p stones,20068253.42467814
2005,black p stones,20717342.032551628
2006,black p stones,20717342.032551628
2007,black p stones,21753279.623760086
2008,black p stones,22757665.95006308
2009,black p stones,21810006.471982013
2010,black p stones,21810006.471982013
2011,black p stones,21810006.472371466
2012,black p stones,18205520.71210619
2013,black p stones,18205520.71210619
2014,black p stones,18249958.499995988
2015,black p stones,18543768.53803529
2016,black p stones,18391513.519016698
2017,black p stones,18391513.519016698
2004,black souls,1303496.9065547541
2005,black souls,1303496.9065547541
2006,black souls,1303496.9065547541
2007,black souls,1304891.2773312277
2008,black souls,1304891.2773312277
2009,black souls,1289364.7365821002
2010,black souls,1030823.3186775168
2011,black souls,1030823.3186775168
2012,black souls,849396.1585779123
2013,black souls,849396.1585779123
2014,black souls,869438.5964033267
2015,black souls,1050848.2430892368
2016,black souls,1050848.7598512643
2017,black souls,1418347.8107496626
2004,c-notes,229967.33794593276
2005,c-notes,229967.33794593276
2006,c-notes,229967.33794593276
2007,c-notes,229967.33794593276
2008,c-notes,229967.33794593276
2009,c-notes,463958.6817817893
2010,c-notes,463958.6817817893
2011,c-notes,463958.6817817893
2012,c-notes,179168.43062408696
2013,c-notes,179168.43062408696
2014,c-notes,178521.75921357586
2015,c-notes,178521.75921357586
2016,c-notes,178521.86711769126
2017,c-notes,178521.86711769126
2004,campbell boys,91563.29465673029
2005,campbell boys,91563.29465673029
2006,campbell boys,91563.29465673029
2007,campbell boys,8359.575347064994
2008,campbell boys,8359.575347064994
2009,campbell boys,15175.37056624648
2010,campbell boys,15175.37056624648
2011,campbell boys,15175.37056624648
2016,campbell boys,40499.23220469535
2017,campbell boys,40499.23220469535
2004,city knights,141522.06966020958
2005,city knights,141522.06966020958
2006,city knights,141522.06966020958
2012,crazy latin boys,126636.5561741549
2013,crazy latin boys,126636.5561741549
2014,crazy latin boys,183477.96598245218
