GEOID,all,count
17031010100,all,2007
17031010201,all,1294
17031010202,all,1112
17031010300,all,892
17031010400,all,356
17031010501,all,589
17031010502,all,194
17031010503,all,121
17031010600,all,1194
17031010701,all,181
17031010702,all,739
17031020100,all,215
17031020200,all,144
17031020301,all,51
17031020302,all,184
17031020400,all,171
17031020500,all,546
17031020601,all,232
17031020602,all,242
17031020701,all,285
17031020702,all,340
17031020801,all,294
17031020802,all,591
17031020901,all,474
17031020902,all,181
17031030101,all,255
17031030102,all,167
17031030103,all,114
17031030104,all,66
17031030200,all,330
17031030300,all,122
17031030400,all,106
17031030500,all,447
17031030601,all,267
17031030603,all,357
17031030604,all,116
17031030701,all,165
17031030702,all,9
17031030703,all,213
17031030706,all,114
17031030800,all,182
17031030900,all,101
17031031000,all,141
17031031100,all,215
17031031200,all,2261
17031031300,all,578
17031031400,all,849
17031031501,all,677
17031031502,all,1050
17031031700,all,1419
17031031800,all,75
17031031900,all,95
17031032100,all,395
17031040100,all,213
17031040201,all,315
17031040202,all,334
17031040300,all,166
17031040401,all,76
17031040402,all,430
17031040600,all,65
17031040700,all,87
17031040800,all,39
17031040900,all,55
17031050100,all,39
17031050200,all,123
17031050300,all,65
17031050500,all,118
17031050600,all,40
17031050700,all,13
17031050800,all,19
17031050900,all,73
17031051000,all,41
17031051100,all,20
17031051200,all,23
17031051300,all,59
17031051400,all,508
17031060100,all,75
17031060200,all,151
17031060300,all,43
17031060400,all,34
17031060500,all,32
17031060800,all,151
17031060900,all,428
17031061000,all,188
17031061100,all,135
17031061200,all,25
17031061500,all,14
17031061800,all,41
17031061901,all,42
17031061902,all,46
17031062000,all,199
17031062100,all,695
17031062200,all,239
17031062300,all,15
17031062400,all,17
17031062500,all,20
17031062600,all,53
17031062700,all,36
17031062800,all,30
17031062900,all,119
17031063000,all,385
17031063100,all,66
17031063200,all,65
17031063301,all,17
17031063302,all,18
17031063303,all,27
17031063400,all,58
17031070101,all,81
17031070102,all,26
17031070103,all,8
17031070200,all,64
17031070300,all,115
17031070400,all,62
17031070500,all,13
17031070600,all,28
17031070700,all,311
17031071000,all,162
17031071100,all,81
17031071200,all,176
17031071300,all,20
17031071400,all,52
17031071500,all,123
17031071600,all,8
17031071700,all,29
17031071800,all,52
17031080100,all,49
17031080201,all,28
17031080202,all,257
17031080300,all,225
17031080400,all,1163
17031081000,all,468
17031081100,all,142
17031081201,all,252
17031081202,all,42
17031081300,all,29
17031081401,all,123
17031081402,all,69
17031081403,all,83
17031081500,all,212
17031081600,all,195
17031081700,all,274
17031081800,all,1049
17031081900,all,1432
17031090100,all,21
17031090200,all,41
17031090300,all,14
17031100100,all,105
17031100200,all,68
17031100300,all,126
17031100400,all,35
17031100500,all,71
17031100600,all,296
17031100700,all,37
17031110100,all,106
17031110200,all,93
17031110300,all,116
17031110400,all,160
17031110501,all,73
17031110502,all,345
17031120100,all,13
17031120200,all,38
17031120300,all,93
17031120400,all,146
17031130100,all,330
17031130200,all,110
17031130300,all,157
17031140100,all,357
17031140200,all,418
17031140301,all,201
17031140302,all,172
17031140400,all,184
17031140500,all,174
17031140601,all,150
17031140602,all,475
17031140701,all,273
17031140702,all,653
17031140800,all,317
17031150200,all,698
17031150300,all,543
17031150401,all,199
17031150402,all,196
17031150501,all,106
17031150502,all,176
17031150600,all,286
17031150700,all,297
17031150800,all,529
17031151001,all,377
17031151002,all,769
17031151100,all,545
17031151200,all,312
17031160100,all,102
17031160200,all,115
17031160300,all,198
17031160400,all,321
17031160501,all,367
17031160502,all,239
17031160601,all,180
17031160602,all,161
17031160700,all,272
17031160800,all,350
17031160900,all,248
17031161000,all,207
17031161100,all,287
17031161200,all,218
17031161300,all,438
17031170100,all,67
17031170200,all,220
17031170300,all,219
17031170400,all,87
17031170500,all,88
17031170600,all,38
17031170700,all,39
17031170800,all,109
17031170900,all,26
17031171000,all,284
17031171100,all,219
17031180100,all,156
17031190100,all,290
17031190200,all,478
17031190300,all,382
17031190401,all,299
17031190402,all,250
17031190601,all,344
17031190602,all,371
17031190701,all,166
17031190702,all,475
17031190800,all,567
17031190900,all,216
17031191000,all,314
17031191100,all,866
17031191200,all,776
17031191301,all,608
17031191302,all,552
17031200100,all,159
17031200200,all,903
17031200300,all,248
17031200401,all,366
17031200402,all,585
17031210100,all,242
17031210400,all,203
17031210501,all,294
17031210502,all,388
17031210601,all,215
17031210602,all,294
17031210700,all,284
17031210800,all,77
17031210900,all,122
17031220300,all,77
17031220400,all,126
17031220500,all,198
17031220601,all,160
17031220602,all,378
17031220701,all,302
17031220702,all,537
17031220901,all,707
17031220902,all,359
17031221000,all,484
17031221100,all,495
17031221200,all,172
17031221300,all,253
17031221400,all,289
17031221500,all,114
17031221600,all,111
17031222200,all,107
17031222500,all,351
17031222600,all,212
17031222700,all,273
17031222800,all,185
17031222900,all,389
17031230100,all,257
17031230200,all,483
17031230300,all,136
17031230400,all,480
17031230500,all,777
17031230600,all,2707
17031230700,all,3662
17031230800,all,455
17031230900,all,2153
17031231100,all,1690
17031231200,all,12081
17031231500,all,11239
17031240200,all,50
17031240300,all,64
17031240500,all,107
17031240600,all,192
17031240700,all,219
17031240800,all,357
17031240900,all,1048
17031241000,all,1050
17031241100,all,1167
17031241200,all,139
17031241300,all,50
17031241400,all,324
17031241500,all,171
17031241600,all,236
17031242000,all,354
17031242100,all,310
17031242200,all,120
17031242300,all,70
17031242400,all,391
17031242500,all,343
17031242600,all,1213
17031242700,all,481
17031242800,all,118
17031242900,all,116
17031243000,all,113
17031243100,all,137
17031243200,all,115
17031243300,all,150
17031243400,all,182
17031243500,all,60
17031250200,all,1653
17031250300,all,1533
17031250400,all,2490
17031250500,all,159
17031250600,all,2028
17031250700,all,2774
17031250800,all,2502
17031251000,all,2000
17031251100,all,6709
17031251200,all,2934
17031251300,all,2559
17031251400,all,1768
17031251500,all,6253
17031251600,all,6951
17031251700,all,3165
17031251800,all,10234
17031251900,all,9863
17031252000,all,3112
17031252101,all,1286
17031252102,all,6185
17031252201,all,2003
17031252202,all,8502
17031260100,all,1689
17031260200,all,4048
17031260300,all,2340
17031260400,all,1814
17031260500,all,3941
17031260600,all,4471
17031260700,all,4698
17031260800,all,5416
17031260900,all,1572
17031261000,all,1380
17031270500,all,2411
17031271200,all,2445
17031271300,all,1863
17031271400,all,1572
17031271500,all,1316
17031271800,all,2176
17031280100,all,123
17031280400,all,441
17031280800,all,2503
17031280900,all,999
17031281900,all,355
17031282700,all,355
17031282800,all,156
17031283100,all,172
17031283200,all,192
17031283800,all,85
17031290900,all,4052
17031291200,all,2241
17031291600,all,129
17031292200,all,2147
17031292400,all,1327
17031292500,all,2867
17031300500,all,359
17031300600,all,404
17031300700,all,995
17031300800,all,998
17031300900,all,801
17031301100,all,305
17031301200,all,463
17031301600,all,668
17031301701,all,251
17031301702,all,237
17031301801,all,262
17031301802,all,502
17031301803,all,407
17031310200,all,115
17031310300,all,132
17031310400,all,171
17031310500,all,246
17031310600,all,813
17031310700,all,299
17031310800,all,490
17031310900,all,535
17031320100,all,642
17031320400,all,616
17031320600,all,266
17031330100,all,748
17031330200,all,347
17031340300,all,24
17031340400,all,67
17031340500,all,538
17031340600,all,1665
17031350100,all,17
17031350400,all,3050
17031351000,all,441
17031351100,all,3560
17031351400,all,1233
17031351500,all,1516
17031360200,all,582
17031380100,all,537
17031380200,all,141
17031380500,all,711
17031380700,all,432
17031381200,all,669
17031381400,all,1096
17031381500,all,378
17031381700,all,349
17031381800,all,812
17031381900,all,172
17031390100,all,102
17031390200,all,173
17031390300,all,527
17031390400,all,753
17031390500,all,106
17031390600,all,41
17031390700,all,160
17031400300,all,677
17031400400,all,1146
17031400500,all,1022
17031400800,all,2268
17031410100,all,91
17031410200,all,16
17031410500,all,164
17031410600,all,29
17031410700,all,57
17031410800,all,168
17031410900,all,91
17031411000,all,76
17031411100,all,28
17031411200,all,17
17031420100,all,186
17031420200,all,110
17031420300,all,73
17031420400,all,368
17031420500,all,1812
17031420600,all,2358
17031420700,all,4421
17031420800,all,1078
17031421200,all,1124
17031430101,all,1471
17031430102,all,260
17031430200,all,1261
17031430300,all,1017
17031430400,all,1057
17031430500,all,1226
17031430600,all,475
17031430700,all,419
17031430800,all,301
17031430900,all,386
17031431200,all,867
17031431301,all,2666
17031431302,all,3003
17031431400,all,1244
17031440101,all,3280
17031440102,all,1070
17031440201,all,1476
17031440202,all,412
17031440300,all,516
17031440600,all,317
17031440700,all,313
17031440800,all,413
17031440900,all,727
17031450300,all,632
17031460100,all,1995
17031460200,all,863
17031460301,all,1192
17031460302,all,2143
17031460400,all,1265
17031460500,all,1213
17031460600,all,760
17031460700,all,1146
17031461000,all,476
17031470100,all,956
17031480100,all,458
17031480200,all,104
17031480300,all,424
17031480400,all,588
17031480500,all,613
17031490300,all,451
17031490400,all,262
17031490500,all,348
17031490600,all,1569
17031490700,all,1384
17031490800,all,1278
17031490901,all,1288
17031490902,all,1392
17031491000,all,3457
17031491100,all,858
17031491200,all,963
17031491300,all,1882
17031491400,all,2028
17031500100,all,255
17031500200,all,612
17031500300,all,259
17031510100,all,384
17031510200,all,376
17031510300,all,1024
17031520100,all,413
17031520200,all,575
17031520300,all,621
17031520400,all,267
17031520500,all,150
17031520600,all,376
17031530100,all,1164
17031530200,all,3406
17031530300,all,969
17031530400,all,424
17031530501,all,2650
17031530502,all,240
17031530503,all,958
17031530600,all,1059
17031540101,all,1202
17031540102,all,918
17031550100,all,623
17031550200,all,213
17031560100,all,285
17031560200,all,1105
17031560300,all,177
17031560400,all,173
17031560700,all,144
17031560800,all,267
17031560900,all,186
17031561000,all,151
17031561100,all,392
17031570100,all,110
17031570200,all,116
17031570300,all,297
17031570400,all,330
17031570500,all,117
17031580100,all,331
17031580200,all,471
17031580300,all,183
17031580400,all,538
17031580501,all,825
17031580502,all,385
17031580600,all,543
17031580700,all,531
17031580800,all,175
17031590500,all,428
17031590600,all,305
17031590700,all,236
17031600400,all,113
17031600600,all,130
17031600700,all,117
17031600900,all,329
17031610300,all,917
17031610400,all,482
17031610800,all,122
17031611000,all,772
17031611100,all,923
17031611200,all,1342
17031611300,all,988
17031611400,all,728
17031611500,all,538
17031611600,all,598
17031611700,all,1723
17031611800,all,1540
17031611900,all,2595
17031612000,all,1272
17031612100,all,1011
17031620100,all,386
17031620200,all,150
17031620300,all,319
17031620400,all,303
17031630100,all,270
17031630200,all,260
17031630300,all,861
17031630400,all,791
17031630500,all,737
17031630800,all,756
17031630900,all,513
17031640100,all,88
17031640300,all,305
17031640400,all,98
17031640500,all,59
17031640600,all,181
17031640700,all,115
17031640800,all,66
17031650100,all,484
17031650200,all,325
17031650301,all,252
17031650302,all,323
17031650400,all,194
17031650500,all,170
17031660301,all,989
17031660302,all,876
17031660400,all,543
17031660500,all,675
17031660600,all,3408
17031660700,all,1528
17031660800,all,1500
17031660900,all,2232
17031661000,all,1722
17031661100,all,436
17031670100,all,2306
17031670200,all,2297
17031670300,all,1080
17031670400,all,652
17031670500,all,595
17031670600,all,828
17031670700,all,1615
17031670800,all,1341
17031670900,all,678
17031671100,all,758
17031671200,all,1073
17031671300,all,2095
17031671400,all,1001
17031671500,all,2463
17031671600,all,1862
17031671800,all,716
17031671900,all,349
17031672000,all,1247
17031680500,all,2154
17031680600,all,1086
17031680900,all,1846
17031681000,all,1831
17031681100,all,2128
17031681200,all,1942
17031681300,all,1454
17031681400,all,1591
17031690300,all,1053
17031690400,all,1479
17031690500,all,708
17031690900,all,1307
17031691000,all,892
17031691100,all,1365
17031691200,all,2118
17031691300,all,738
17031691400,all,1443
17031691500,all,2051
17031700100,all,522
17031700200,all,278
17031700301,all,195
17031700302,all,153
17031700401,all,545
17031700402,all,127
17031700501,all,391
17031700502,all,113
17031710100,all,804
17031710200,all,1623
17031710300,all,723
17031710400,all,2314
17031710500,all,1537
17031710600,all,1300
17031710700,all,1201
17031710800,all,2003
17031710900,all,1508
17031711000,all,1251
17031711100,all,1083
17031711200,all,919
17031711300,all,285
17031711400,all,1863
17031711500,all,747
17031720100,all,38
17031720200,all,155
17031720300,all,87
17031720400,all,56
17031720500,all,62
17031720600,all,44
17031720700,all,141
17031730100,all,455
17031730201,all,1284
17031730202,all,505
17031730300,all,413
17031730400,all,1107
17031730500,all,1308
17031730600,all,1013
17031730700,all,1258
17031740100,all,112
17031740200,all,95
17031740300,all,161
17031740400,all,106
17031750100,all,1173
17031750200,all,239
17031750300,all,70
17031750400,all,65
17031750500,all,1122
17031750600,all,1519
17031760801,all,52
17031760802,all,23
17031760803,all,86
17031770901,all,3
17031770902,all,11
17031805402,all,0
17031805502,all,0
17031805600,all,0
17031805702,all,0
17031807600,all,0
17031807800,all,0
17031807900,all,0
17031808001,all,0
17031808002,all,6
17031808100,all,0
17031810000,all,0
17031810200,all,49
17031810301,all,3
17031810400,all,3
17031810501,all,0
17031810502,all,3
17031810600,all,4
17031810701,all,0
17031810702,all,0
17031810800,all,0
17031810900,all,5
17031811100,all,0
17031811500,all,0
17031811900,all,0
17031812100,all,30
17031812200,all,6
17031812500,all,1
17031812600,all,19
17031813000,all,1
17031813100,all,4
17031813301,all,0
17031813302,all,1
17031813400,all,0
17031813500,all,3
17031813801,all,0
17031814200,all,0
17031820300,all,2
17031820400,all,0
17031820502,all,0
17031820700,all,0
17031820800,all,0
17031820901,all,0
17031820902,all,1
17031821102,all,1
17031821200,all,0
17031821401,all,0
17031821402,all,1
17031821500,all,0
17031821600,all,4
17031821700,all,0
17031821900,all,1
17031822000,all,3
17031822101,all,0
17031822701,all,0
17031822702,all,2
17031822802,all,0
17031823200,all,0
17031823303,all,0
17031823304,all,5
17031823400,all,0
17031823500,all,0
17031825700,all,0
17031825801,all,0
17031826401,all,0
17031826500,all,0
17031830500,all,378
17031830600,all,886
17031830700,all,3334
17031830800,all,66
17031830900,all,191
17031831000,all,35
17031831100,all,653
17031831200,all,753
17031831300,all,687
17031831400,all,2664
17031831500,all,181
17031831600,all,267
17031831700,all,407
17031831800,all,410
17031831900,all,32
17031832000,all,217
17031832100,all,288
17031832200,all,35
17031832300,all,61
17031832400,all,283
17031832500,all,107
17031832600,all,139
17031832900,all,46
17031833000,all,145
17031833100,all,209
17031833300,all,80
17031833900,all,1142
17031834000,all,1420
17031834200,all,2236
17031834300,all,888
17031834400,all,476
17031834500,all,981
17031834600,all,2665
17031834700,all,2273
17031834800,all,1306
17031834900,all,1528
17031835000,all,3645
17031835100,all,1530
17031835200,all,152
17031835500,all,1883
17031835600,all,1549
17031835700,all,1816
17031835800,all,657
17031835900,all,1375
17031836000,all,767
17031836100,all,1084
17031836200,all,69
17031836300,all,122
17031836400,all,419
17031836500,all,315
17031836600,all,3018
17031836700,all,2818
17031836800,all,3299
17031836900,all,1427
17031837000,all,4502
17031837100,all,1284
17031837300,all,1586
17031837400,all,2915
17031837800,all,1652
17031838000,all,764
17031838100,all,406
17031838200,all,206
17031838300,all,1459
17031838600,all,2764
17031838700,all,7354
17031838800,all,907
17031839000,all,509
17031839100,all,1121
17031839200,all,1273
17031839500,all,420
17031839600,all,1105
17031839700,all,324
17031839800,all,110
17031839900,all,254
17031840000,all,123
