GEOID,owner,owner_prop
17031221000,peaceful,0
17031221100,peaceful,0
17031242800,peaceful,0
17031242900,peaceful,0
17031243000,latin kings,0.24865569953658007
17031243100,peaceful,0
17031243200,peaceful,0
17031243300,peaceful,0
17031243400,peaceful,0
17031071400,peaceful,0
17031110400,peaceful,0
17031150600,peaceful,0
17031150700,peaceful,0
17031150800,peaceful,0.07094144263993281
17031151100,latin kings,0.2126263895725391
17031151200,peaceful,0
17031241500,peaceful,0
17031241100,peaceful,0.025121547331471823
17031241600,peaceful,0
17031241300,peaceful,0.08345858861697285
17031241400,peaceful,0.07400501753262365
17031243500,peaceful,0.01059567617321844
17031250200,vice lords,0.48277693013152273
17031250300,vice lords,0.4447026007647422
17031250400,vice lords,0.5342958599402154
17031250500,peaceful,0
17031071500,peaceful,0
17031071800,peaceful,0
17031080100,peaceful,0
17031080300,peaceful,5.778722274188764e-5
17031080400,peaceful,0.08247229286298292
17031160100,peaceful,0
17031160200,peaceful,0
17031160300,latin kings,0.16129498202983492
17031160400,peaceful,0
17031160700,peaceful,0
17031221300,peaceful,0
17031221500,peaceful,0
17031221400,peaceful,0.013013791368187507
17031250600,vice lords,0.6944263422427117
17031250700,vice lords,0.7156521955409092
17031250800,vice lords,0.6378414516684268
17031251000,peaceful,0.0966349922317902
17031251100,vice lords,0.5031697655764298
17031051400,black p stones,0.10154636321401031
17031060100,peaceful,0
17031060300,peaceful,0
17031060800,peaceful,0.09900672869455615
17031160800,peaceful,0
17031160900,peaceful,0
17031161000,peaceful,0
17031161100,peaceful,0
17031161200,peaceful,0
17031161300,peaceful,0
17031170100,peaceful,0
17031221600,peaceful,0
17031242100,peaceful,0
17031242000,peaceful,0.07842706530099076
17031251200,vice lords,0.43675560614954223
17031251300,vice lords,0.6771956425372908
17031051300,peaceful,0
17031600700,peaceful,0.05344167479611937
17031600900,latin kings,0.39842669971558736
17031821200,peaceful,0
17031672000,gangster disciples,0.8769369800433822
17031710900,black p stones,0.8203932884798789
17031711000,black p stones,0.8987523622878711
17031711100,black p stones,0.8362030152982413
17031711200,gangster disciples,0.5384953023591711
17031711500,black p stones,0.9407529415053412
17031711300,black p stones,0.8799978541635479
17031711400,gangster disciples,0.5063503000363706
17031270500,vice lords,0.13952914276779557
17031271200,gangster disciples,0.20115000785983117
17031271300,vice lords,0.24600785442744155
17031271400,vice lords,0.5409204270538057
17031350100,peaceful,0
17031350400,gangster disciples,0.26144857684213446
17031351000,peaceful,0.00221385356040152
17031351400,gangster disciples,0.6665279713107068
17031360200,gangster disciples,0.4656786251833266
17031430400,gangster disciples,0.7028533503579701
17031430600,vice lords,0.40739938927193214
17031430800,black p stones,0.49699019280597395
17031430500,gangster disciples,0.7017511260115522
17031430900,gangster disciples,0.5925069231150187
17031610300,peaceful,1.699240318425843e-7
17031681000,gangster disciples,0.678447918355996
17031681100,gangster disciples,0.5781175739383259
