GEOID,owner,owner_prop
17031221000,peaceful,0
17031221100,peaceful,0
17031242800,peaceful,0
17031242900,peaceful,0
17031243000,latin kings,0.248659775073093
17031243100,peaceful,0
17031243200,peaceful,0
17031243300,peaceful,0
17031243400,peaceful,0
17031071400,peaceful,0
17031110400,peaceful,0
17031150600,peaceful,0
17031150700,peaceful,0
17031150800,peaceful,0
17031151100,peaceful,0
17031151200,peaceful,0
17031241500,peaceful,0
17031241100,peaceful,0
17031241600,peaceful,0
17031241300,peaceful,0
17031241400,peaceful,0.07645314904370419
17031243500,peaceful,0
17031250200,vice lords,0.6533977081840253
17031250300,vice lords,0.45872694406008163
17031250400,vice lords,0.6559368488447832
17031250500,peaceful,0
17031071500,peaceful,0
17031071800,peaceful,0
17031080100,peaceful,0
17031080300,peaceful,0
17031080400,peaceful,0
17031160100,peaceful,0
17031160200,peaceful,0
17031160300,latin kings,0.2509139343457687
17031160400,peaceful,0
17031160700,peaceful,0
17031221300,peaceful,0
17031221500,peaceful,0
17031221400,peaceful,0
17031250600,vice lords,0.5278618737721007
17031250700,vice lords,0.7587338973244969
17031250800,vice lords,0.7087870353943467
17031251000,vice lords,0.26073417517113306
17031251100,vice lords,0.6274336338613369
17031051400,peaceful,0
17031060100,peaceful,0
17031060300,peaceful,0
17031060800,peaceful,0
17031160800,peaceful,0
17031160900,peaceful,0
17031161000,peaceful,0
17031161100,peaceful,0
17031161200,peaceful,0
17031161300,peaceful,0
17031170100,peaceful,0
17031221600,peaceful,0
17031242100,peaceful,0
17031242000,peaceful,0
17031251200,vice lords,0.5106558557978188
17031251300,vice lords,0.9774801615917984
17031051300,peaceful,0
17031600700,peaceful,0.09178708506261486
17031600900,latin kings,0.506394938223644
17031821200,peaceful,0
17031672000,gangster disciples,0.7109688351260018
17031710900,black p stones,0.7366684713722476
17031711000,black p stones,0.9340205971842828
17031711100,black p stones,0.9974523683808744
17031711200,gangster disciples,0.98615630087104
17031711500,black p stones,0.9706478332459002
17031711300,black p stones,0.7871636116591495
17031711400,gangster disciples,0.5358306761620981
17031270500,vice lords,0.2302801354141788
17031271200,peaceful,0
17031271300,vice lords,0.8971824884311045
17031271400,vice lords,0.9089193265019405
17031350100,peaceful,0
17031350400,gangster disciples,0.3197988156573363
17031351000,peaceful,0.0015444419298207169
17031351400,gangster disciples,0.5304865452992126
17031360200,gangster disciples,0.16797325242010813
17031430400,gangster disciples,0.5636453487600803
17031430600,gangster disciples,0.31685349927104156
17031430800,peaceful,0
17031430500,gangster disciples,0.3472806961131001
17031430900,peaceful,0.059509342504327545
17031610300,peaceful,0
17031681000,gangster disciples,0.4001947493866102
17031681100,gangster disciples,0.3087172158372642
17031680500,gangster disciples,0.4702556447656527
17031680900,black disciples,0.5354691694287541
17031810000,gangster disciples,0.21365173053604972
17031720100,peaceful,0.006666743267572781
17031720200,black p stones,0.11643387759394336
