GEOID,owner,owner_prop
17031221000,peaceful,0
17031221100,peaceful,0
17031242800,peaceful,0
17031242900,peaceful,0
17031243000,latin kings,0.24865553977270125
17031243100,peaceful,0
17031243200,peaceful,0
17031243300,peaceful,0
17031243400,peaceful,0
17031071400,peaceful,0
17031110400,peaceful,0
17031150600,peaceful,0
17031150700,peaceful,0
17031150800,vice lords,0.12414752461988238
17031151100,latin kings,0.3723619370495642
17031151200,peaceful,0
17031241500,peaceful,0
17031241100,peaceful,9.171568316584805e-4
17031241600,peaceful,0
17031241300,latin kings,0.21185291023781122
17031241400,peaceful,0.06829932480228139
17031243500,peaceful,0.022259968750547622
17031250200,vice lords,0.21629793726767124
17031250300,vice lords,0.39302846206012093
17031250400,vice lords,0.5420445414202206
17031250500,peaceful,0
17031071500,peaceful,0
17031071800,peaceful,0
17031080100,peaceful,0
17031080300,peaceful,0
17031080400,peaceful,0.08241727521894654
17031160100,peaceful,0
17031160200,peaceful,0
17031160300,peaceful,0
17031160400,peaceful,0
17031160700,peaceful,0
17031221300,peaceful,0
17031221500,peaceful,0
17031221400,peaceful,0.060731026384875035
17031250600,vice lords,0.8070366159897377
17031250700,vice lords,0.7877508846320656
17031250800,vice lords,0.6004792908294038
17031251000,peaceful,0.043889810950567695
17031251100,vice lords,0.3451255115129505
17031051400,latin kings,0.14082457326978287
17031060100,peaceful,0
17031060300,peaceful,0
17031060800,gangster disciples,0.2772188403447572
17031160800,peaceful,0
17031160900,peaceful,0
17031161000,peaceful,0
17031161100,peaceful,0
17031161200,peaceful,0
17031161300,peaceful,0
17031170100,peaceful,0
17031221600,peaceful,0
17031242100,peaceful,0
17031242000,gangster disciples,0.13724325512365318
17031251200,black p stones,0.2922027581377445
17031251300,vice lords,0.26601004244791115
17031051300,peaceful,0
17031600700,peaceful,0.03936239012933915
17031600900,latin kings,0.3177160541975418
17031821200,peaceful,0
17031672000,gangster disciples,0.9589476076234834
17031710900,black p stones,0.8372811998649715
17031711000,black p stones,0.8705395175632471
17031711100,black p stones,0.49794728075167183
17031711200,black p stones,0.5350290456112847
17031711500,black p stones,0.8772841308970857
17031711300,black p stones,0.9433616803469482
17031711400,black p stones,0.5644231953326307
17031270500,vice lords,0.28244227938903016
17031271200,gangster disciples,0.19530006738193115
17031271300,peaceful,0
17031271400,vice lords,0.26144948498285603
17031350100,peaceful,0
17031350400,gangster disciples,0.16804611729517874
17031351000,peaceful,0.003549719069370433
17031351400,gangster disciples,0.9976283493732905
17031360200,gangster disciples,0.8245473402598075
17031430400,gangster disciples,0.48412384204171527
17031430600,vice lords,0.7174845736090144
17031430800,black p stones,0.8683452329068388
17031430500,gangster disciples,0.9735277828565274
17031430900,gangster disciples,0.9744213888928848
17031610300,peaceful,0
17031681000,gangster disciples,0.9999991282295052
17031681100,gangster disciples,0.8426416712949668
17031680500,gangster disciples,0.9474210796918466
