GEOID,black disciples,black p stones,gangster disciples,latin kings,two-six,vice lords
17031221000,0,0,0,0,0,0
17031221100,0,0,0,0,0,0
17031242800,0,0,0,0,0,0
17031242900,0,0,0,0,0,0
17031243000,0,0,0,0.248659775073093,0,0
17031243100,0,0,0,0,0,0
17031243200,0,0,0,0,0,0
17031243300,0,0,0,0,0,0
17031243400,0,0,0,0,0,0
17031071400,0,0,0,0,0,0
17031110400,0,0,0,0,0,0
17031150600,0,0,0,0,0,0
17031150700,0,0,0,0,0,0
17031150800,0,0,0,0,0,0
17031151100,0,0,0,0,0,0
17031151200,0,0,0,0,0,0
17031241500,0,0,0,0,0,0
17031241100,0,0,0,0,0,0
17031241600,0,0,0,0,0,0
17031241300,0,0,0,0,0,0
17031241400,0,0,0,0.07645314904370419,0,0
17031243500,0,0,0,0,0,0
17031250200,0,0,0,0,0,0.6533977081840253
17031250300,0,0,0,0,0,0.45872694406008163
17031250400,0,0,0,0,0,0.6559368488447832
17031250500,0,0,0,0,0,0
17031071500,0,0,0,0,0,0
17031071800,0,0,0,0,0,0
17031080100,0,0,0,0,0,0
17031080300,0,0,0,0,0,0
17031080400,0,0,0,0,0,0
17031160100,0,0,0,0,0,0
17031160200,0,0,0,0,0,0
17031160300,0,0,0,0.2509139343457687,0,0
17031160400,0,0,0,0,0,0
17031160700,0,0,0,0,0,0
17031221300,0,0,0,0,0,0
17031221500,0,0,0,0,0,0
17031221400,0,0,0,0,0,0
17031250600,0,0,0,0,0,0.5278618737721007
17031250700,0,0,0,0,0,0.7587338973244969
17031250800,0,0,0,0,0,0.7087870353943467
17031251000,0,0,0,0,0,0.26073417517113306
17031251100,0,0,0,0,0,0.6274336338613369
17031051400,0,0,0,0,0,0
17031060100,0,0,0,0,0,0
17031060300,0,0,0,0,0,0
17031060800,0,0,0,0,0,0
17031160800,0,0,0,0,0,0
17031160900,0,0,0,0,0,0
17031161000,0,0,0,0,0,0
17031161100,0,0,0,0,0,0
17031161200,0,0,0,0,0,0
17031161300,0,0,0,0,0,0
17031170100,0,0,0,0,0,0
17031221600,0,0,0,0,0,0
17031242100,0,0,0,0,0,0
17031242000,0,0,0,0,0,0
17031251200,0,0,0,0,0,0.5106558557978188
17031251300,0.017512543423156814,0,0,0,0,0.9774801615917984
17031051300,0,0,0,0,0,0
17031600700,0,0,0,0.09178708506261486,0,0
17031600900,0,0,0,0.506394938223644,0,0
17031821200,0,0,0,0,0,0
17031672000,0,0.006940191511503253,0.7109688351260018,0,0,0
17031710900,0,0.7366684713722476,0,0,0,0
17031711000,0.12277647125221346,0.9340205971842828,0,0,0,0
17031711100,0,0.9974523683808744,0,0,0,0
17031711200,0,0,0.98615630087104,0,0,0
17031711500,0,0.9706478332459002,0.008797377825239061,0,0,0
17031711300,0,0.7871636116591495,0.16904363476100276,0,0,0
17031711400,0,0.35262116422399103,0.5358306761620981,0,0,0
17031270500,0,0,0,0,0,0.2302801354141788
17031271200,0,0,0,0,0,0
17031271300,0,0,0,0,0,0.8971824884311045
17031271400,0,0,0,0,0,0.9089193265019405
17031350100,0,0,0,0,0,0
17031350400,0,0,0.3197988156573363,0,0,0
17031351000,0,0,0.0015444419298207169,0,0,0
17031351400,0,0,0.5304865452992126,0,0,0
17031360200,0,0,0.16797325242010813,0,0,0
17031430400,0,0,0.5636453487600803,0,0,6.0184159985612525e-5
17031430600,0,0,0.31685349927104156,0,0,0
17031430800,0,0,0,0,0,0
17031430500,0,0,0.3472806961131001,0,0,0.11459774078597727
17031430900,0,0,0,0,0,0.059509342504327545
17031610300,0,0,0,0,0,0
17031681000,0.06189425460605684,0,0.4001947493866102,0,0,0
17031681100,0.06167670091036833,0,0.3087172158372642,0,0,0
17031680500,0.46763027145643626,0.05006987730792187,0.4702556447656527,0,0,0
17031680900,0.5354691694287541,0,0.037952095545731764,0,0,0
17031810000,0,0,0.21365173053604972,0,0,0
17031720100,0,0,0.006666743267572781,0,0,0
17031720200,0,0.11643387759394336,1.861995457787523e-4,0,0,0
17031720300,0,0,0,0,0,0
17031720400,0,0,0,0,0,0
17031720500,0,0,0,0,0,0
17031720600,0,0,0,0,0,0
17031720700,0,0,0,0,0,0
17031040600,0,0,0,0,0,0
17031040700,0,0,0,0.006481407196648232,0,0
17031040800,0,0,0,0,0,0
