GEOID,black disciples,black p stones,gangster disciples,latin kings,two-six,vice lords
17031221000,0,0,0,0,0,0
17031221100,0,0,0,0,0,0
17031242800,0,0,0,0,0,0
17031242900,0,0,0,0,0,0
17031243000,0,0,0,0.24865553977270125,0,0
17031243100,0,0,0,0,0,0
17031243200,0,0,0,0,0,0
17031243300,0,0,0,0,0,0
17031243400,0,0,0,0,0,0
17031071400,0,0,0,0,0,0
17031110400,0,0,0,0,0,0
17031150600,0,0,0,0,0,0
17031150700,0,0,0,0,0,0
17031150800,0,0,0,0,0,0.12414752461988238
17031151100,0,0,0,0.3723619370495642,0,0
17031151200,0,0,0,0,0,0
17031241500,0,0,0,0,0,0
17031241100,0,0,9.171568316584805e-4,0,0,0
17031241600,0,0,0,0,0,0
17031241300,0,0,0,0.21185291023781122,0,0
17031241400,0,0,0,0.06829932480228139,0,0
17031243500,0,0,0.022259968750547622,0,0,0
17031250200,0,0,0,0,0,0.21629793726767124
17031250300,0,0,0,0,0,0.39302846206012093
17031250400,0,0,0,0,0,0.5420445414202206
17031250500,0,0,0,0,0,0
17031071500,0,0,0,0,0,0
17031071800,0,0,0,0,0,0
17031080100,0,0,0,0,0,0
17031080300,0,0,0,0,0,0
17031080400,0,0.08241727521894654,0.04607236152986801,0,0,0.08241727521894654
17031160100,0,0,0,0,0,0
17031160200,0,0,0,0,0,0
17031160300,0,0,0,0,0,0
17031160400,0,0,0,0,0,0
17031160700,0,0,0,0,0,0
17031221300,0,0,0,0,0,0
17031221500,0,0,0,0,0,0
17031221400,0,0,0,0.060731026384875035,0,0
17031250600,0,0,0,0,0,0.8070366159897377
17031250700,0,0,0,0,0,0.7877508846320656
17031250800,0,0,0,0,0,0.6004792908294038
17031251000,0,0,0,0,0,0.043889810950567695
17031251100,0,0,0,0,0,0.3451255115129505
17031051400,0,0.09818279817569911,0.0669721870902474,0.14082457326978287,0,0
17031060100,0,0,0,0,0,0
17031060300,0,0,0,0,0,0
17031060800,0,0,0.2772188403447572,0,0,0
17031160800,0,0,0,0,0,0
17031160900,0,0,0,0,0,0
17031161000,0,0,0,0,0,0
17031161100,0,0,0,0,0,0
17031161200,0,0,0,0,0,0
17031161300,0,0,0,0,0,0
17031170100,0,0,0,0,0,0
17031221600,0,0,0,0,0,0
17031242100,0,0,0,0,0,0
17031242000,0,0,0.13724325512365318,0,0,0
17031251200,0,0.2922027581377445,0,0,0,0.07675705608225701
17031251300,0,0,0,0,0,0.26601004244791115
17031051300,0,0,0,0,0,0
17031600700,0,0,0,0.03936239012933915,0,0
17031600900,0,0,0,0.3177160541975418,0,0
17031821200,0,0,0,0,0,0
17031672000,0.03494672787864842,8.47678236725353e-4,0.9589476076234834,0,0,0
17031710900,0,0.8372811998649715,0.15968280907351604,0,0,0
17031711000,0.1219283944851683,0.8705395175632471,0,0,0,0
17031711100,0,0.49794728075167183,0.26315726169216114,0,0,0
17031711200,0,0.5350290456112847,0.46201742879631863,0,0,0
17031711500,0,0.8772841308970857,0.008797079418434373,0,0,0
17031711300,0,0.9433616803469482,0.014405539059900935,0,0,0
17031711400,0,0.5644231953326307,0.4295253621128589,0,0,1.6595920897201034e-5
17031270500,0,0,0.006240693113105637,0,0,0.28244227938903016
17031271200,0,0,0.19530006738193115,0,0,0.09481427880504081
17031271300,0,0,0,0,0,0
17031271400,0,0,0,0,0,0.26144948498285603
17031350100,0,0,0,0,0,0
17031350400,0,0,0.16804611729517874,0,0,0
17031351000,0,0,0.003549719069370433,0,0,0
17031351400,0,0,0.9976283493732905,0,0,0
17031360200,0,0,0.8245473402598075,0,0,0
17031430400,0,0,0.48412384204171527,0,0,0.009860484329884442
17031430600,0,0.24414068586396323,0.02821669801652966,0,0,0.7174845736090144
17031430800,0,0.8683452329068388,0,0,0,0.12350821582915823
17031430500,0,0,0.9735277828565274,0,0,0
17031430900,0,0,0.9744213888928848,0,0,0
17031610300,0,0,0,0,0,0
17031681000,0,0,0.9999991282295052,0,0,0
17031681100,0.15511895760660513,0,0.8426416712949668,0,0,0
17031680500,0,0.04999825377924569,0.9474210796918466,0,0,0
17031680900,0.23624012605527356,0,0.7261948341934406,0,0,0
17031810000,0,0,0.19998575740499927,0,0,0
17031720100,0,0,0.06666453656738051,0,0,0
17031720200,0,0,5.706039055279899e-4,0,0,0
