GEOID,cluster
17031843900,2
17031843800,2
17031843700,2
17031843600,2
17031843500,2
17031843400,4
17031843300,2
17031843200,2
17031843100,5
17031843000,4
17031842900,1
17031842800,2
17031842600,2
17031842500,5
17031842400,2
17031842300,2
17031842200,2
17031842100,1
17031842000,2
17031841900,2
17031841800,1
17031841700,2
17031841600,2
17031841500,1
17031841400,2
17031841300,2
17031841200,2
17031841100,2
17031841000,2
17031840800,2
17031840700,1
17031840400,2
17031840300,2
17031840200,2
17031840100,2
17031840000,2
17031839900,2
17031839800,2
17031839700,2
17031839600,2
17031839500,2
17031839200,2
17031839100,2
17031839000,2
17031838800,2
17031838700,4
17031838600,4
17031838300,2
17031838200,2
17031838100,2
17031838000,2
17031837800,2
17031837400,5
17031837300,5
17031837100,2
17031837000,2
17031836900,2
17031836800,4
17031836700,4
17031836600,3
17031836500,2
17031836400,2
17031836300,2
17031836200,2
17031836100,4
17031836000,2
17031835900,5
17031835800,2
17031835700,2
17031835600,2
17031835500,5
17031835200,2
17031835100,2
17031835000,3
17031834900,5
17031834800,3
17031834700,1
17031834600,3
17031834500,1
17031834400,2
17031834300,4
17031834200,3
17031834000,4
17031833900,2
17031833300,2
17031833100,2
17031833000,2
17031832900,2
17031832600,2
17031832500,2
17031832400,2
17031832300,2
17031832200,2
17031832100,2
17031832000,2
17031831900,2
17031831800,2
17031831700,2
17031831600,2
17031831500,2
17031831400,2
17031831300,2
17031831200,2
17031831100,2
17031831000,2
17031830900,2
17031830800,2
17031830700,3
17031830600,2
17031830500,2
17031826500,2
17031826401,2
17031825801,2
17031825700,2
17031823500,2
17031823400,2
17031823304,2
17031823303,2
17031823200,2
17031822802,2
17031822702,2
17031822701,2
17031822101,2
17031822000,2
17031821900,2
17031821700,2
17031821600,2
17031821500,2
17031821402,2
17031821401,2
17031821200,2
17031821102,2
17031820902,2
17031820901,2
17031820800,2
17031820700,2
17031820502,2
17031820400,2
17031820300,2
17031814200,2
17031813801,2
17031813500,2
17031813400,2
17031813302,2
17031813301,2
17031813100,2
17031813000,2
17031812600,2
17031812500,2
17031812200,2
17031812100,2
17031811900,2
17031811500,2
17031811100,2
17031810900,2
17031810800,2
17031810702,2
17031810701,2
17031810600,2
17031810502,2
17031810501,2
17031810400,2
17031810301,2
17031810200,2
17031810000,2
17031808100,2
17031808002,2
17031808001,2
17031807900,2
17031807800,2
17031807600,2
17031805702,2
17031805600,2
17031805502,2
17031805402,2
17031770902,2
17031770901,2
17031760803,2
17031760802,2
17031760801,2
17031750600,2
17031750500,2
17031750400,2
17031750300,2
17031750200,2
17031750100,5
17031740400,2
17031740300,2
17031740200,2
17031740100,2
17031730700,2
17031730600,2
17031730500,5
17031730400,1
17031730300,2
17031730202,2
17031730201,1
17031730100,2
17031720700,2
17031720600,2
17031720500,2
17031720400,2
17031720300,2
17031720200,2
17031720100,2
17031711500,2
17031711400,2
17031711300,2
17031711200,1
17031711100,1
17031711000,2
17031710900,1
17031710800,1
17031710700,3
17031710600,2
17031710500,2
17031710400,1
17031710300,2
17031710200,1
17031710100,2
17031700502,2
17031700501,2
17031700402,2
17031700401,2
17031700302,2
17031700301,2
17031700200,2
17031700100,2
17031691500,1
17031691400,3
17031691300,2
17031691200,2
17031691100,3
17031691000,2
17031690900,5
17031690500,2
17031690400,3
17031690300,2
17031681400,5
17031681300,5
17031681200,3
17031681100,3
17031681000,3
17031680900,3
17031680600,2
17031680500,5
17031672000,5
17031671900,2
17031671800,2
17031671600,3
17031671500,5
17031671400,3
17031671300,1
17031671200,2
17031671100,2
17031670900,2
17031670800,1
17031670700,5
17031670600,2
17031670500,2
17031670400,1
17031670300,5
17031670200,5
17031670100,2
17031661100,2
17031661000,3
17031660900,3
17031660800,3
17031660700,3
17031660600,3
17031660500,2
17031660400,2
17031660302,2
17031660301,2
17031650500,2
17031650400,2
17031650302,2
17031650301,2
17031650200,2
17031650100,2
17031640800,2
17031640700,2
17031640600,2
17031640500,2
17031640400,2
17031640300,2
17031640100,2
17031630900,2
17031630800,2
17031630500,2
17031630400,2
17031630300,2
17031630200,2
17031630100,2
17031620400,2
17031620300,2
17031620200,2
17031620100,2
17031612100,1
17031612000,2
17031611900,3
17031611800,2
17031611700,1
17031611600,1
17031611500,2
17031611400,2
17031611300,2
17031611200,1
17031611100,1
17031611000,2
17031610800,2
17031610400,2
17031610300,1
17031600900,2
17031600700,2
17031600600,2
17031600400,2
17031590700,2
17031590600,2
17031590500,2
17031580800,2
17031580700,2
17031580600,2
17031580502,2
17031580501,2
17031580400,2
17031580300,2
17031580200,2
17031580100,2
17031570500,2
17031570400,2
17031570300,2
17031570200,2
17031570100,2
17031561100,2
17031561000,2
17031560900,2
17031560800,2
17031560700,2
17031560400,2
17031560300,2
17031560200,1
17031560100,2
17031550200,2
17031550100,2
17031540102,5
17031540101,1
17031530600,4
17031530503,4
17031530502,2
17031530501,1
17031530400,2
17031530300,3
17031530200,1
17031530100,1
17031520600,2
17031520500,2
17031520400,2
17031520300,2
17031520200,2
17031520100,2
17031510300,1
17031510200,2
17031510100,2
17031500300,2
17031500200,2
17031500100,2
17031491400,1
17031491300,4
17031491200,2
17031491100,1
17031491000,5
17031490902,3
17031490901,3
