GEOID,gangster disciples,black p stones,peaceful,latin kings,vice lords,black disciples,two-six
17031010100,0.13,0.14,0.7,0.01,0,0.02,0
17031010201,0.06,0.04,0.9,0,0,0,0
17031010202,0.05,0.02,0.91,0,0.01,0.01,0
17031010300,0,0,1,0,0,0,0
17031010400,0.02,0.01,0.96,0,0.01,0,0
17031010501,0.01,0,0.98,0.01,0,0,0
17031010502,0,0,1,0,0,0,0
17031010503,0,0,1,0,0,0,0
17031010600,0.05,0.03,0.89,0,0.02,0,0.01
17031010701,0,0,1,0,0,0,0
17031010702,0.03,0,0.97,0,0,0,0
17031020100,0.01,0,0.99,0,0,0,0
17031020200,0,0,1,0,0,0,0
17031020301,0,0,1,0,0,0,0
17031020302,0,0.01,0.99,0,0,0,0
17031020400,0,0,1,0,0,0,0
17031020500,0.02,0.03,0.9,0,0.05,0,0
17031020601,0,0,1,0,0,0,0
17031020602,0,0,1,0,0,0,0
17031020701,0,0,1,0,0,0,0
17031020702,0,0.01,0.97,0.01,0.01,0,0
17031020801,0,0,1,0,0,0,0
17031020802,0.05,0.03,0.83,0,0.09,0,0
17031020901,0.01,0,0.99,0,0,0,0
17031020902,0.02,0,0.97,0,0.01,0,0
17031030101,0.01,0,0.99,0,0,0,0
17031030102,0.02,0,0.98,0,0,0,0
17031030103,0,0,1,0,0,0,0
17031030104,0,0,1,0,0,0,0
17031030200,0,0.01,0.99,0,0,0,0
17031030300,0.01,0,0.98,0,0.01,0,0
17031030400,0,0,1,0,0,0,0
17031030500,0,0.01,0.98,0,0.01,0,0
17031030601,0,0,1,0,0,0,0
17031030603,0,0,1,0,0,0,0
17031030604,0,0,1,0,0,0,0
17031030701,0,0,1,0,0,0,0
17031030702,0,0,1,0,0,0,0
17031030703,0,0,1,0,0,0,0
17031030706,0,0,1,0,0,0,0
17031030800,0.01,0,0.99,0,0,0,0
17031030900,0,0,1,0,0,0,0
17031031000,0,0,1,0,0,0,0
17031031100,0,0,1,0,0,0,0
17031031200,0.17,0.05,0.73,0,0.04,0.01,0
17031031300,0.02,0,0.9,0,0.08,0,0
17031031400,0,0,1,0,0,0,0
17031031501,0,0.01,0.99,0,0,0,0
17031031502,0.13,0.11,0.72,0,0.03,0,0.01
17031031700,0.26,0.25,0.43,0.02,0.02,0.02,0
17031031800,0,0,1,0,0,0,0
17031031900,0,0,1,0,0,0,0
17031032100,0,0,0.98,0,0.01,0.01,0
17031040100,0,0,1,0,0,0,0
17031040201,0,0,1,0,0,0,0
17031040202,0,0,1,0,0,0,0
17031040300,0,0,1,0,0,0,0
17031040401,0,0,1,0,0,0,0
17031040402,0.01,0,0.98,0,0.01,0,0
17031040600,0,0,1,0,0,0,0
17031040700,0,0,1,0,0,0,0
17031040800,0,0,1,0,0,0,0
17031040900,0,0,1,0,0,0,0
17031050100,0,0,1,0,0,0,0
17031050200,0,0,1,0,0,0,0
17031050300,0,0,1,0,0,0,0
17031050500,0,0,1,0,0,0,0
17031050600,0,0,1,0,0,0,0
17031050700,0,0,1,0,0,0,0
17031050800,0,0,1,0,0,0,0
17031050900,0,0,1,0,0,0,0
17031051000,0,0,1,0,0,0,0
17031051100,0,0,1,0,0,0,0
17031051200,0,0,1,0,0,0,0
17031051300,0,0,1,0,0,0,0
17031051400,0.05,0.01,0.94,0,0,0,0
17031060100,0,0,1,0,0,0,0
17031060200,0,0,1,0,0,0,0
17031060300,0,0,1,0,0,0,0
17031060400,0,0,1,0,0,0,0
17031060500,0,0,1,0,0,0,0
17031060800,0,0,1,0,0,0,0
17031060900,0,0,0.96,0,0.04,0,0
17031061000,0,0,1,0,0,0,0
17031061100,0,0,1,0,0,0,0
17031061200,0,0,1,0,0,0,0
17031061500,0,0,1,0,0,0,0
17031061800,0,0,1,0,0,0,0
17031061901,0,0,1,0,0,0,0
17031061902,0,0,1,0,0,0,0
17031062000,0,0,1,0,0,0,0
17031062100,0,0,1,0,0,0,0
17031062200,0.01,0.01,0.97,0,0,0,0.01
17031062300,0,0,1,0,0,0,0
17031062400,0,0,1,0,0,0,0
17031062500,0,0,1,0,0,0,0
17031062600,0,0,1,0,0,0,0
17031062700,0,0,1,0,0,0,0
17031062800,0,0,1,0,0,0,0
17031062900,0.01,0.01,0.98,0,0,0,0
17031063000,0,0,1,0,0,0,0
17031063100,0,0,1,0,0,0,0
17031063200,0,0,1,0,0,0,0
17031063301,0,0,1,0,0,0,0
17031063302,0,0,1,0,0,0,0
17031063303,0,0,1,0,0,0,0
17031063400,0,0,1,0,0,0,0
17031070101,0,0,1,0,0,0,0
17031070102,0,0,1,0,0,0,0
17031070103,0,0,1,0,0,0,0
17031070200,0,0,1,0,0,0,0
17031070300,0,0,1,0,0,0,0
17031070400,0,0,1,0,0,0,0
17031070500,0,0,1,0,0,0,0
17031070600,0,0,1,0,0,0,0
17031070700,0.02,0,0.98,0,0,0,0
17031071000,0,0,1,0,0,0,0
17031071100,0,0,1,0,0,0,0
17031071200,0,0,1,0,0,0,0
17031071300,0,0,1,0,0,0,0
17031071400,0,0,1,0,0,0,0
17031071500,0,0,1,0,0,0,0
17031071600,0,0,1,0,0,0,0
17031071700,0,0,1,0,0,0,0
17031071800,0.02,0.03,0.94,0,0.01,0,0
17031080100,0,0,1,0,0,0,0
17031080201,0,0,1,0,0,0,0
17031080202,0,0,1,0,0,0,0
17031080300,0,0,1,0,0,0,0
17031080400,0.19,0.09,0.62,0.02,0.08,0,0
17031081000,0,0.01,0.97,0.01,0.01,0,0
17031081100,0,0,1,0,0,0,0
17031081201,0,0,1,0,0,0,0
17031081202,0.01,0,0.99,0,0,0,0
17031081300,0,0,1,0,0,0,0
17031081401,0.02,0.01,0.93,0,0.04,0,0
17031081402,0,0,1,0,0,0,0
17031081403,0,0,1,0,0,0,0
17031081500,0,0,1,0,0,0,0
17031081600,0,0,1,0,0,0,0
17031081700,0,0.01,0.99,0,0,0,0
17031081800,0.01,0.02,0.97,0,0,0,0
17031081900,0.24,0.3,0.39,0,0.06,0,0.01
17031090100,0,0,1,0,0,0,0
17031090200,0,0,1,0,0,0,0
17031090300,0,0,1,0,0,0,0
17031100100,0,0,1,0,0,0,0
17031100200,0,0,1,0,0,0,0
17031100300,0,0,1,0,0,0,0
17031100400,0,0,1,0,0,0,0
17031100500,0,0,1,0,0,0,0
17031100600,0,0,1,0,0,0,0
17031100700,0,0,1,0,0,0,0
17031110100,0,0,1,0,0,0,0
17031110200,0,0,1,0,0,0,0
17031110300,0,0,1,0,0,0,0
17031110400,0,0,1,0,0,0,0
17031110501,0,0,1,0,0,0,0
17031110502,0,0,1,0,0,0,0
17031120100,0,0,1,0,0,0,0
17031120200,0,0,1,0,0,0,0
17031120300,0,0,1,0,0,0,0
17031120400,0,0,1,0,0,0,0
17031130100,0,0.01,0.99,0,0,0,0
17031130200,0,0,1,0,0,0,0
17031130300,0,0,1,0,0,0,0
17031140100,0.04,0.04,0.91,0.01,0,0,0
17031140200,0.03,0.07,0.9,0,0,0,0
17031140301,0.02,0,0.98,0,0,0,0
17031140302,0,0,1,0,0,0,0
17031140400,0,0,1,0,0,0,0
17031140500,0,0,1,0,0,0,0
17031140601,0,0,1,0,0,0,0
17031140602,0.01,0.01,0.98,0,0,0,0
17031140701,0,0,1,0,0,0,0
17031140702,0.02,0.02,0.94,0,0.01,0.01,0
17031140800,0.03,0,0.91,0,0.06,0,0
17031150200,0,0,1,0,0,0,0
17031150300,0.02,0,0.98,0,0,0,0
17031150401,0,0,1,0,0,0,0
17031150402,0,0,0.98,0,0.02,0,0
17031150501,0,0,1,0,0,0,0
17031150502,0,0,1,0,0,0,0
17031150600,0,0,0.99,0,0.01,0,0
17031150700,0,0,1,0,0,0,0
17031150800,0,0,1,0,0,0,0
17031151001,0,0,1,0,0,0,0
17031151002,0.02,0,0.98,0,0,0,0
17031151100,0.01,0.02,0.96,0,0.01,0,0
17031151200,0,0,1,0,0,0,0
17031160100,0,0,1,0,0,0,0
17031160200,0,0,1,0,0,0,0
17031160300,0,0,1,0,0,0,0
17031160400,0,0,1,0,0,0,0
17031160501,0.04,0.05,0.83,0,0.07,0,0.01
17031160502,0,0.01,0.98,0,0.01,0,0
17031160601,0,0,1,0,0,0,0
17031160602,0,0,1,0,0,0,0
17031160700,0,0,1,0,0,0,0
17031160800,0.04,0.02,0.93,0,0.01,0,0
17031160900,0,0,1,0,0,0,0
17031161000,0,0,1,0,0,0,0
17031161100,0,0,1,0,0,0,0
17031161200,0,0,0.99,0,0.01,0,0
17031161300,0,0,1,0,0,0,0
17031170100,0,0,1,0,0,0,0
17031170200,0,0,1,0,0,0,0
17031170300,0.01,0,0.99,0,0,0,0
17031170400,0,0,1,0,0,0,0
17031170500,0,0,1,0,0,0,0
17031170600,0,0,1,0,0,0,0
17031170700,0,0,1,0,0,0,0
17031170800,0,0,1,0,0,0,0
17031170900,0,0,1,0,0,0,0
17031171000,0,0,0.99,0,0.01,0,0
17031171100,0,0,1,0,0,0,0
17031180100,0,0,1,0,0,0,0
17031190100,0.12,0.09,0.76,0,0.03,0,0
17031190200,0.01,0,0.99,0,0,0,0
17031190300,0.06,0.07,0.74,0,0.13,0,0
17031190401,0.01,0,0.99,0,0,0,0
17031190402,0.01,0.01,0.98,0,0,0,0
17031190601,0.05,0.02,0.93,0,0,0,0
17031190602,0.01,0.01,0.98,0,0,0,0
17031190701,0,0,1,0,0,0,0
17031190702,0.01,0.02,0.96,0,0.01,0,0
17031190800,0,0.01,0.98,0,0.01,0,0
17031190900,0,0,1,0,0,0,0
17031191000,0.01,0,0.99,0,0,0,0
17031191100,0.15,0.08,0.68,0.01,0.07,0.01,0
17031191200,0.06,0.02,0.92,0,0,0,0
17031191301,0.05,0.02,0.89,0,0.02,0.01,0.01
17031191302,0.06,0.05,0.84,0,0.05,0,0
17031200100,0.01,0,0.99,0,0,0,0
17031200200,0.07,0.11,0.75,0.01,0.05,0.01,0
17031200300,0.03,0.06,0.88,0.01,0.01,0,0.01
17031200401,0.06,0.04,0.88,0,0.02,0,0
17031200402,0.07,0.11,0.76,0.01,0.05,0,0
17031210100,0,0,1,0,0,0,0
17031210400,0,0,1,0,0,0,0
17031210501,0.05,0.01,0.94,0,0,0,0
17031210502,0.13,0.17,0.67,0.01,0.02,0,0
17031210601,0.01,0.01,0.96,0.01,0.01,0,0
17031210602,0.07,0.01,0.9,0,0.01,0.01,0
17031210700,0.02,0.02,0.96,0,0,0,0
17031210800,0,0,1,0,0,0,0
17031210900,0,0,1,0,0,0,0
17031220300,0.01,0.04,0.95,0,0,0,0
17031220400,0.01,0,0.99,0,0,0,0
17031220500,0,0,1,0,0,0,0
17031220601,0,0,1,0,0,0,0
17031220602,0,0,1,0,0,0,0
17031220701,0.01,0.02,0.97,0,0,0,0
17031220702,0.13,0.12,0.7,0.01,0.04,0,0
17031220901,0.08,0.01,0.88,0,0.03,0,0
17031220902,0.02,0.01,0.97,0,0,0,0
17031221000,0.01,0.02,0.97,0,0,0,0
17031221100,0.02,0,0.97,0,0.01,0,0
17031221200,0,0,1,0,0,0,0
17031221300,0.01,0,0.99,0,0,0,0
17031221400,0.01,0.01,0.97,0,0.01,0,0
17031221500,0.05,0.02,0.92,0.01,0,0,0
17031221600,0,0,1,0,0,0,0
17031222200,0,0,1,0,0,0,0
17031222500,0,0,0.98,0.01,0.01,0,0
17031222600,0,0,1,0,0,0,0
17031222700,0,0,1,0,0,0,0
17031222800,0.01,0.01,0.98,0,0,0,0
17031222900,0,0,1,0,0,0,0
17031230100,0,0,0.99,0,0.01,0,0
17031230200,0,0,0.99,0,0.01,0,0
17031230300,0,0.01,0.99,0,0,0,0
17031230400,0.07,0.01,0.9,0,0.01,0,0.01
17031230500,0.2,0.14,0.6,0.01,0.04,0.01,0
17031230600,0.35,0.38,0.03,0.02,0.18,0.03,0.01
17031230700,0.3,0.35,0.17,0.02,0.12,0.03,0.01
17031230800,0.02,0.02,0.96,0,0,0,0
17031230900,0.24,0.14,0.27,0.04,0.3,0.01,0
17031231100,0.13,0.11,0.73,0,0.03,0,0
17031231200,0.27,0.32,0,0.03,0.32,0.06,0
17031231500,0.29,0.3,0,0.03,0.37,0.01,0
17031240200,0,0,1,0,0,0,0
17031240300,0,0,1,0,0,0,0
17031240500,0.01,0,0.99,0,0,0,0
17031240600,0,0,1,0,0,0,0
17031240700,0,0,1,0,0,0,0
17031240800,0.01,0.01,0.97,0,0.01,0,0
17031240900,0.09,0.06,0.62,0,0.21,0.02,0
17031241000,0.1,0.1,0.71,0,0.08,0.01,0
17031241100,0.18,0.09,0.6,0.03,0.1,0,0
17031241200,0,0,1,0,0,0,0
17031241300,0,0,1,0,0,0,0
17031241400,0.1,0.02,0.85,0,0.03,0,0
17031241500,0,0,1,0,0,0,0
17031241600,0.02,0,0.97,0,0.01,0,0
17031242000,0.01,0.06,0.9,0,0.03,0,0
17031242100,0,0,1,0,0,0,0
17031242200,0,0,1,0,0,0,0
17031242300,0,0,1,0,0,0,0
17031242400,0.01,0,0.98,0,0.01,0,0
17031242500,0.04,0.05,0.89,0,0.02,0,0
17031242600,0.19,0.25,0.35,0.02,0.19,0,0
17031242700,0.06,0.01,0.91,0,0.02,0,0
17031242800,0.03,0.04,0.86,0.01,0.06,0,0
17031242900,0,0.02,0.98,0,0,0,0
17031243000,0,0,1,0,0,0,0
17031243100,0.01,0,0.98,0.01,0,0,0
17031243200,0.01,0.01,0.98,0,0,0,0
17031243300,0.01,0,0.99,0,0,0,0
17031243400,0.03,0.01,0.95,0,0.01,0,0
17031243500,0,0,1,0,0,0,0
17031250200,0.11,0.11,0.54,0,0.23,0,0.01
17031250300,0.17,0.24,0.24,0.02,0.29,0.02,0.02
17031250400,0.11,0.1,0.02,0.02,0.74,0.01,0
17031250500,0,0,1,0,0,0,0
17031250600,0.21,0.24,0.19,0.01,0.33,0.02,0
