GEOID,shootings
170312517001,124
170317110003,41
170310306032,8
170313815001,22
170312522023,77
170314205002,101
170314401012,59
170318434001,106
170318318002,3
170312609002,68
170312605001,221
170315806003,25
170318315002,9
170318350004,53
170318346004,147
170312210001,27
170316603024,29
170316406001,2
170316121001,93
170312504004,22
170314003001,122
170314406001,8
170313514001,48
170312602001,103
170311502001,3
170316304003,32
170318373002,42
170318421004,72
170312107003,22
170311903001,8
170312315006,153
170316909005,60
170314202001,38
170312519004,79
170318357001,53
170311706002,1
170318436002,48
170312916001,32
170314805002,22
170317104006,26
170316714002,100
170318216004,1
170312521021,77
170311711003,1
170318309001,14
170310407002,1
170312511002,58
170317307002,53
170316719001,53
170312608002,84
170314605007,48
170312004023,13
170316702001,137
170312607001,93
170312312003,61
170316909004,41
170316720003,66
170318424003,41
170315602001,32
170315802002,68
170312209011,11
170318348001,68
170310107022,8
170318430002,131
170310306013,7
170318340002,44
170318428003,20
170316711001,83
170313901001,14
170316809001,81
170310101002,67
170314305001,37
170316716003,60
170317506001,33
170315401013,87
170314606001,58
170316114003,36
170316809002,35
170316103002,70
170318361001,88
170316604001,29
170316118001,63
170314911005,25
170318436001,51
170316503013,4
170317505003,39
170318367001,86
170316708002,72
170311909001,11
170312519002,134
170318388002,88
170317114001,41
170316903002,60
170311801002,3
170318415002,108
170314912003,26
170315001003,16
170316204002,11
170314603012,38
170312516002,114
170312312002,55
170316814003,78
170313301004,32
170312427001,46
170315301001,82
170312712001,80
170315804001,22
170312521022,56
170317001002,31
170318424002,56
170316117003,48
170318397002,3
170311704003,2
170314204001,47
170315203001,29
170310317003,19
170316910004,39
170315305021,61
170314401014,88
170312515001,39
170314304003,50
170314604002,12
170314603024,78
170318418002,125
170318350001,44
170316811004,43
170315806004,40
170318345001,136
170312909002,54
170316611001,21
170311908003,22
170316301001,44
170314910005,115
170316812003,62
170316813003,37
170312909003,69
170316120002,44
170316910003,23
170317005022,11
170316713003,56
170316914003,26
170318314001,52
170316911001,24
170314207005,132
170314911001,28
170316119001,87
170315302005,92
170316609003,75
170317301001,14
170312516001,87
170318333001,8
170314301022,21
170318387004,50
170311609002,4
170312309002,56
170312309001,61
170318408001,24
170318366001,79
170318421005,62
170317104003,24
170314105001,5
170318429001,12
170318432001,22
170318387001,172
170314301011,15
170314909023,24
170312508001,78
170318378001,47
170317106002,47
170313018032,54
170317105001,48
170312506002,37
170312514001,50
170316305001,21
170312315001,82
170316814004,56
170316703001,43
170318350005,35
170316914005,51
170317113002,42
170316607002,67
170312101001,6
170314914001,19
170315305012,82
170310315013,10
170315302001,67
170313005002,43
170318360001,22
170312705001,121
170316811005,42
170314911003,23
170312504003,45
170310627002,1
170316911003,35
170316913002,17
170317108004,34
170313018011,19
170312515004,60
170312515002,60
170313108003,46
170312315005,70
170312004011,26
170311408003,4
170310201001,4
170312522012,22
170316117002,68
170310315021,12
170316603022,34
170314008001,87
170316716001,43
170310102012,49
170314803001,6
170313106001,48
170318306001,5
170312828001,23
170312226001,18
170311407021,14
170312606002,94
170316813001,66
170316720001,106
170316806001,40
170314406002,25
170316703002,68
170316715003,97
170315805014,27
170317110002,75
170316714001,78
170314913004,32
170314603011,47
170318344003,18
170315602003,53
170314909022,88
170313905001,11
170316806002,62
170315401011,51
170316811002,60
170318369001,30
170318381002,18
170312804001,39
170316116002,44
170312808001,136
170312809001,56
170317107003,38
170318418001,48
170310313004,6
170317101001,56
170314301012,69
170312909004,45
170318426002,36
170314302003,35
170318402001,17
170316608001,32
170316112001,86
170312925002,53
170312315003,21
170314307002,28
170316610005,26
170313017012,33
170310321005,8
170316603011,64
170316715002,112
170310205004,6
170313818002,48
170318339001,66
170318346003,35
170317108005,27
170316705001,90
170314401024,54
170316610002,19
170316911002,34
170314302005,42
170315305011,85
170313406001,56
170318370001,64
170315306001,54
170318340001,58
170312405001,12
170318359002,40
170312307004,36
170318350002,59
170315303001,69
170318343001,27
170314206001,70
170312312005,111
170316611005,6
170316812001,40
170316805002,70
170312109002,15
170316708001,35
170315502002,10
170314314003,50
170310105012,7
170316113002,24
170317004013,10
170312519003,49
170313904002,47
170310301011,7
170316308004,49
170317501003,37
170312521024,69
170314303001,61
170314409001,46
170315703001,7
170314207002,51
170313301001,4
170314601002,43
170311408005,9
170314302004,38
170312522025,68
170318386001,28
170316608004,11
170316716002,54
170312514003,38
170314912001,42
170314907003,44
170311407024,8
