GEOID,total,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita
170310000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
170310101001,2181,477,204,220,33,131,90,121,88,101,179,128,205,82,39,51,32,20677,9.93677725040077
170310102001,1492,140,162,15,84,170,128,42,105,18,173,107,151,27,67,73,30,23106,10.047847603042964
170310102002,2221,213,193,155,219,211,124,167,126,115,182,156,189,135,25,11,0,18994,9.851878418802897
170310103001,2975,307,228,152,300,159,203,129,187,46,349,413,261,84,76,0,81,23799,10.077398841970112
170310104001,2072,422,78,162,31,169,77,94,85,14,218,315,158,43,38,137,31,23972,10.084641761578077
170310105001,4979,920,572,423,277,297,267,342,219,161,298,401,213,277,125,117,70,26138,10.171145473156981
170310106001,2917,256,155,69,192,192,111,85,177,73,186,670,270,131,204,90,56,26678,10.19159453470099
170310107001,2e3,315,182,116,108,56,158,52,96,57,222,107,333,84,37,32,45,19326,9.869206618559254
170310107002,1511,99,29,50,0,144,98,89,25,87,158,251,204,132,59,52,34,26354,10.179375345105198
170310108001,1545,128,192,130,92,109,148,99,0,128,107,137,168,20,50,12,25,18209,9.809671256331843
170310109001,386,0,0,0,22,11,22,50,0,35,21,92,32,21,12,68,0,28639,10.26252470426388
170310201001,1407,123,98,43,75,117,79,58,53,52,146,190,127,86,119,41,0,23642,10.070780070310322
170310202001,425,17,19,38,38,21,79,0,0,16,9,78,72,13,0,25,0,18359,9.817875196460205
170310202002,417,15,15,31,55,27,11,0,42,32,56,36,14,23,48,12,0,22761,10.032803824006184
170310202003,238,0,0,0,0,0,11,0,14,0,0,81,47,0,11,62,12,32966,10.4032320062913
170310202004,237,12,13,1,0,0,14,0,0,0,6,20,30,38,65,22,16,36149,10.495404564687007
170310202005,578,31,11,0,0,0,14,0,0,47,78,42,148,54,50,78,25,27501,10.221977646629885
170310202006,232,0,0,14,0,0,0,0,0,21,39,41,41,26,24,0,26,26883,10.199249395552329
170310203001,561,0,0,14,49,0,29,46,38,20,40,92,113,47,73,0,0,30488,10.325088442553696
170310203002,194,0,0,0,15,0,0,16,0,16,20,13,12,50,0,52,0,38133,10.54883532796278
170310203003,264,0,0,0,36,0,40,16,0,0,12,29,62,20,12,19,18,35584,10.479651377610255
170310203004,332,40,50,65,12,0,0,9,17,41,18,0,13,54,0,13,0,14867,9.60689927061335
170310203005,149,0,0,17,0,0,0,38,0,0,0,0,0,25,13,39,17,47842,10.775659193770734
170310203006,541,0,15,0,0,29,0,17,69,0,102,65,129,2,18,46,49,27544,10.223540005018359
170310203007,1583,154,113,64,122,31,87,90,83,72,184,210,138,65,110,36,24,30094,10.312081095318824
170310204001,363,22,0,10,45,9,0,0,17,0,90,27,46,30,24,8,35,29297,10.285240400684541
170310204002,552,58,0,34,38,15,60,0,10,9,34,114,23,54,30,68,5,33413,10.416700324794617
170310204003,813,52,37,52,65,32,63,56,60,89,22,96,60,97,8,24,0,22095,10.00310661756484
170310205001,1874,204,190,158,156,129,143,149,146,77,172,43,162,80,39,26,0,15063,9.619996684702816
170310206001,395,28,0,0,13,14,25,37,0,50,88,13,12,31,54,30,0,25095,10.130423902089033
170310206002,398,46,0,0,29,88,42,11,0,0,42,62,12,0,53,13,0,19514,9.878887435667895
170310206003,309,0,0,0,0,0,87,0,30,0,59,52,14,12,39,16,0,20162,9.911554923613886
170310206004,305,39,0,0,13,0,15,45,7,0,0,41,91,28,13,0,13,25108,10.130941799437423
170310206005,469,61,16,50,58,61,0,57,19,39,0,13,0,13,41,0,41,16615,9.718061180788695
170310206006,363,31,54,42,16,17,0,36,86,0,15,0,21,0,18,0,27,18897,9.846758458290038
170310206007,776,92,106,27,11,52,28,107,25,15,78,91,30,59,12,43,0,21962,9.99706896615766
170310206008,246,42,28,13,45,15,0,0,13,0,0,15,0,27,15,11,22,13527,9.512442967089195
170310207001,732,84,77,48,31,63,40,67,38,30,24,103,56,12,0,59,0,14883,9.60797490096916
170310207002,650,83,55,24,43,68,33,0,20,13,109,43,53,42,27,37,0,24763,10.117105882625266
170310207003,200,31,0,0,11,30,0,0,0,11,11,0,12,37,57,0,0,37595,10.534626341812126
170310207004,438,11,0,23,12,39,0,37,13,0,26,157,68,13,27,12,0,30457,10.324071131775993
170310207005,429,13,31,24,12,5,37,12,0,23,73,18,94,49,38,0,0,18665,9.834405391348684
170310207006,591,12,23,89,68,53,22,23,64,8,0,98,39,23,41,0,28,27366,10.217056645939756
170310208001,617,69,50,56,30,40,55,70,15,13,14,0,78,50,62,15,0,20448,9.925640357177262
170310208002,390,15,0,15,54,0,15,28,13,0,0,102,80,26,29,13,0,23902,10.081717416426827
170310208003,773,0,14,132,51,36,0,0,65,71,33,93,92,101,60,0,25,23768,10.076095417142444
170310208004,522,0,3,55,0,14,17,70,26,63,83,94,30,37,30,0,0,20037,9.905335843393745
170310208005,402,13,0,0,62,41,0,54,16,31,14,15,59,42,41,14,0,26474,10.183918398273716
170310208006,344,0,40,25,5,0,15,0,0,0,41,62,90,29,37,0,0,21453,9.973619774716505
170310208007,714,62,40,96,55,0,11,108,0,66,60,29,97,62,28,0,0,17597,9.775483711951761
170310208008,575,48,0,38,95,0,0,5,36,37,27,71,90,111,0,17,0,16873,9.733469990198337
170310209001,112,30,0,0,13,0,0,33,0,14,0,0,11,11,0,0,0,10937,9.299906815335225
170310209002,641,12,45,134,52,17,36,21,43,32,55,77,41,18,0,48,10,20750,9.940301525658844
170310209003,1165,84,37,165,52,58,60,30,12,102,81,151,158,66,32,43,34,21809,9.990078007617226
170310209004,768,39,42,27,0,118,14,32,35,13,96,83,118,79,72,0,0,23145,10.04953405346537
170310209005,738,17,71,38,36,113,47,62,33,12,67,154,48,17,9,14,0,16706,9.723523215315852
170310301001,841,186,92,39,69,37,28,25,38,17,104,104,30,47,0,25,0,10366,9.246286498749653
170310301002,919,270,182,81,121,37,61,36,39,0,10,19,41,0,22,0,0,15794,9.667385400057526
170310301003,2531,362,120,96,202,135,87,129,147,54,231,156,362,220,81,69,80,37450,10.530761988945365
170310301004,2134,369,87,223,184,99,58,72,103,81,154,156,193,123,45,132,55,34978,10.462474571409137
170310302001,840,59,12,0,18,36,61,15,47,98,52,118,176,29,62,14,43,35301,10.471666571132038
170310302002,554,62,68,14,19,20,33,26,15,66,45,13,106,23,6,38,0,30236,10.316788546412067
170310302003,473,20,16,0,0,0,7,0,15,0,85,48,43,45,38,103,53,47533,10.769179485646914
170311907003,466,0,43,21,43,0,0,86,65,0,78,24,11,80,0,0,15,14736,9.598048758495088
170311907004,422,18,24,16,29,46,45,46,22,41,67,44,0,24,0,0,0,10849,9.29182818882245
170311907005,366,19,46,0,0,0,33,0,11,70,11,82,44,39,11,0,0,15986,9.679468618185965
170311908001,350,13,35,0,0,89,0,76,63,29,26,19,0,0,0,0,0,11499,9.350015354048665
170311908002,342,16,0,51,0,43,0,33,0,0,38,144,17,0,0,0,0,14765,9.600014794178023
170311908003,595,40,67,0,87,54,22,65,35,0,76,76,33,40,0,0,0,13074,9.478380804172675
170311908004,389,11,0,0,39,14,54,77,0,0,83,10,58,0,0,0,43,23578,10.068069352852072
170311908005,353,14,0,44,52,52,16,28,14,15,0,59,0,51,8,0,0,12848,9.460943436186543
170311909001,627,115,0,0,39,81,17,94,0,52,5,43,135,39,4,3,0,15911,9.674765972907856
