GEOID,total,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita
170312421001,326,0,17,9,9,0,9,0,16,0,48,8,43,40,23,67,37,64233
170312421002,656,9,16,0,9,28,8,18,0,28,53,43,139,82,33,55,135,55872
170312421003,697,9,30,0,0,7,10,8,47,17,8,48,74,74,88,151,126,74151
170312422001,771,7,74,0,16,14,7,8,56,9,44,54,126,64,76,76,140,50009
170312422002,890,9,40,18,19,13,10,33,56,54,76,79,91,64,55,135,138,67715
170312423001,697,6,9,8,26,0,26,11,53,7,84,143,87,78,48,5,106,56390
170312423002,902,87,7,0,8,35,13,15,9,17,118,115,106,170,19,29,154,60191
170312424001,567,10,28,10,32,8,0,17,25,56,33,40,155,18,38,53,44,49635
170312424002,837,60,22,34,79,37,40,22,29,43,45,109,91,77,56,46,47,38337
170312425001,867,133,90,7,43,56,6,26,31,61,89,16,105,85,42,62,15,27967
170312425002,723,7,7,52,37,55,29,40,13,0,64,84,96,141,19,23,56,34798
170312426001,535,39,75,14,90,77,22,0,0,58,14,45,13,66,0,8,14,18292
170312426002,752,39,54,0,38,55,52,14,29,27,68,45,176,33,10,73,39,35798
170312426003,633,0,54,0,13,24,41,0,81,10,32,132,42,85,14,73,32,38266
170312426004,513,31,35,0,14,46,44,39,47,0,36,25,45,0,92,35,24,29857
170312427001,689,112,94,70,54,26,23,6,34,34,35,56,29,34,29,40,13,25172
170312428001,592,25,61,27,52,18,7,0,15,35,28,60,51,48,53,51,61,42040
170312429001,500,35,18,4,14,8,30,8,26,4,66,46,64,61,14,37,65,51428
170312429002,305,17,9,0,29,32,0,3,34,0,11,38,45,32,27,16,12,39012
170312430001,375,0,0,36,0,13,0,0,43,59,53,58,73,7,14,11,8,37521
170312430002,660,0,0,38,25,4,0,38,12,69,56,128,117,36,47,33,57,42474
170312431001,608,30,32,17,20,26,33,0,11,4,0,46,84,122,21,52,110,42873
170312431002,271,27,5,0,23,5,7,0,25,38,0,6,24,30,21,24,36,47446
170312432001,488,36,0,12,0,6,5,0,28,0,36,31,84,28,6,92,124,64911
170312432002,393,6,8,19,0,0,4,4,0,24,29,46,47,42,24,58,82,48407
170312433001,490,0,21,17,25,0,23,0,8,44,43,62,83,61,52,8,43,56238
170312433002,670,23,10,8,21,24,10,37,45,36,42,78,111,55,54,45,71,46769
170312434001,531,41,22,17,27,46,42,19,15,57,16,77,71,8,8,23,42,32081
170312434002,185,9,0,0,8,0,35,10,13,0,0,0,35,33,7,17,18,45755
170312434003,579,0,0,18,23,0,9,0,8,15,19,62,125,80,46,110,64,66728
170312435001,581,88,24,55,31,10,6,35,8,14,11,64,70,35,31,35,64,40050
170312435002,1108,15,0,4,0,28,22,27,0,27,129,73,146,154,98,124,261,82237
170312502001,391,11,51,20,44,14,26,32,26,16,43,33,14,41,6,14,0,13535
170312502002,390,51,20,21,26,61,17,21,18,16,25,33,40,25,5,0,11,16715
170312503001,578,26,20,78,56,32,70,23,18,36,45,44,56,26,7,33,8,15283
170312503002,329,42,42,25,8,24,19,21,31,19,36,18,0,25,19,0,0,15226
170312503003,393,99,34,35,17,37,36,27,25,41,17,0,16,0,9,0,0,12733
170312503004,266,32,36,22,22,41,29,0,25,0,7,0,52,0,0,0,0,13191
170312504001,187,25,55,57,5,0,13,0,0,0,32,0,0,0,0,0,0,13190
170312504002,390,31,74,0,66,13,63,0,28,19,48,0,48,0,0,0,0,12572
170312504003,303,94,16,0,30,25,8,0,0,42,0,46,42,0,0,0,0,13822
170312504004,481,15,55,32,38,0,0,15,0,115,61,50,34,0,66,0,0,21418
170312504005,505,49,0,62,0,13,126,17,0,16,66,65,55,0,36,0,0,18975
170312505001,503,0,32,0,0,53,0,0,0,0,16,44,131,170,25,23,9,24322
170310502003,782,25,12,52,68,30,12,71,55,22,12,61,73,77,20,37,155,54833
170310503001,385,33,5,7,0,22,18,28,8,7,0,11,89,71,12,56,18,40060
170310503002,341,0,11,0,0,7,14,0,37,23,27,46,16,55,24,27,54,43539
170310503003,381,6,7,9,21,0,13,0,16,31,55,41,55,36,0,64,27,50294
170310505001,454,10,0,15,0,0,0,0,14,0,0,34,48,0,151,26,156,72576
170310505002,629,0,0,0,13,16,17,0,15,0,16,61,176,46,61,45,163,63768
170310505003,361,51,0,18,17,0,0,0,0,0,44,15,32,64,33,41,46,57384
170310505004,484,0,0,11,0,0,49,14,0,46,15,34,64,32,33,79,107,51801
170310505005,303,0,0,0,14,0,0,0,42,0,43,25,86,0,0,31,62,48053
170310506001,615,9,21,0,26,9,0,0,9,20,54,56,130,84,16,73,108,70263
170310506002,454,12,8,0,7,0,8,21,35,26,19,23,59,61,48,43,84,61553
170310507001,694,23,0,6,5,6,28,5,16,0,41,99,80,68,82,95,140,66420
170310508001,574,10,14,0,4,26,0,0,4,48,37,46,72,68,48,66,131,61516
170310509001,592,21,4,23,4,15,0,18,35,9,63,95,43,82,57,28,95,47588
170310510001,730,47,6,0,13,15,5,27,5,3,46,66,116,90,26,100,165,59421
170310511001,631,13,20,32,9,13,36,8,17,6,37,58,53,43,56,68,162,60205
170310512001,304,5,3,0,10,0,0,29,12,0,10,20,53,32,29,35,66,70650
170310512002,320,5,0,4,0,23,0,3,6,0,22,5,69,35,10,48,90,76400
170310513001,448,0,0,12,14,0,6,0,0,0,0,27,54,70,29,52,184,99153
170310513002,669,0,0,9,12,0,23,0,10,0,27,32,80,99,45,158,174,80286
170310514001,455,6,48,21,4,12,0,7,25,14,11,35,53,47,26,33,113,64267
170310514002,318,10,4,23,9,0,15,6,5,26,39,6,39,40,29,32,35,57538
170310601001,345,0,9,8,0,0,0,30,0,35,47,15,29,18,10,20,124,83618
170310601002,519,0,0,0,6,9,10,8,8,8,24,85,88,45,39,39,150,66819
170310601003,321,27,0,0,0,0,15,16,9,8,10,43,32,34,7,38,82,65953
170310602001,681,14,36,31,25,28,13,36,10,10,46,131,155,72,39,6,29,52477
170310602002,444,19,50,14,29,22,17,7,7,0,23,40,48,49,7,32,80,58627
170310603001,720,0,10,10,0,0,0,14,10,10,26,109,39,98,80,144,170,80011
170310603002,613,7,0,24,11,28,57,10,21,20,10,64,121,67,59,26,88,57668
170310604001,748,14,20,0,0,10,8,19,29,10,55,69,114,110,43,57,190,66584
170310604002,387,19,6,7,0,10,0,9,0,8,13,32,51,50,9,62,111,74890
170310604003,407,8,0,0,0,19,9,0,0,0,23,16,37,46,33,132,84,72709
170310605001,737,136,97,41,64,21,20,24,27,26,32,29,51,18,21,38,92,46934
170310608001,1066,50,15,14,12,14,32,101,13,16,72,69,155,251,95,61,96,71309
170310608002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170310608003,1918,86,79,16,55,54,35,55,135,91,114,196,378,283,104,111,126,61255
170310609001,680,0,71,35,0,25,97,40,27,0,93,116,87,75,0,0,14,43005
170310609002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170310609003,923,25,84,46,42,34,0,27,20,0,80,56,231,77,84,0,117,51214
170310609004,2571,161,33,88,68,96,104,53,231,84,378,261,304,288,138,82,202,60957
170310609005,408,64,28,0,121,0,61,23,0,19,66,0,0,0,0,26,0,16872
170310610001,886,37,11,4,23,0,16,25,32,23,59,62,119,128,51,127,169,65326
170310611001,658,10,4,5,0,9,13,26,16,39,34,79,114,79,31,95,104,57939
170310612001,846,41,11,23,28,25,4,9,20,9,72,49,120,104,85,134,112,59049
170312505002,484,72,0,45,0,34,0,14,0,0,13,16,130,67,44,16,33,48490
170312505003,351,0,0,32,0,18,0,0,34,0,37,30,24,50,70,47,9,36335
170312505004,277,0,0,0,16,15,0,17,0,0,14,24,31,72,14,14,60,41174
170312505005,194,0,0,0,0,0,0,15,16,0,29,36,16,28,31,9,14,46508
170312505006,414,0,14,104,42,19,67,0,0,35,14,14,20,47,0,38,0,21157
170312505007,641,65,59,0,81,0,0,77,10,0,96,72,44,73,54,0,10,29532
170312506001,237,19,0,35,0,6,0,21,0,16,32,33,37,21,17,0,0,20462
170312506002,364,36,0,35,32,37,14,12,0,40,94,0,21,3,22,11,7,20803
170312506003,305,24,36,11,29,0,0,14,0,19,11,0,55,43,32,19,12,23637
170312506004,374,48,11,38,13,25,6,0,43,18,0,65,54,13,3,12,25,22479
170312507001,417,60,20,66,14,30,12,56,0,0,56,30,59,0,0,14,0,19598
170312507002,418,31,84,0,14,60,74,0,0,13,57,85,0,0,0,0,0,16943
170312507003,368,0,44,0,69,53,19,0,0,31,45,0,85,9,13,0,0,15666
170312507004,325,49,62,85,19,0,0,0,0,0,64,20,12,14,0,0,0,14633
170312507005,462,80,37,18,0,55,28,13,56,0,0,0,87,58,15,0,15,21510
170312508001,363,30,90,15,0,40,37,10,56,6,3,47,29,0,0,0,0,10783
170312508002,446,53,14,29,11,0,81,97,4,46,7,42,15,20,13,14,0,18567
170312510001,331,38,43,16,6,50,15,26,8,27,29,37,12,0,18,3,3,16822
170312511001,422,73,127,91,57,9,24,0,0,38,0,0,3,0,0,0,0,11885
170312511002,276,15,40,1,79,20,18,0,0,8,8,62,19,6,0,0,0,11164
170312511003,321,16,84,46,0,21,0,0,19,35,15,0,31,0,47,0,7,15550
170312511004,393,102,13,0,0,8,27,65,9,19,7,116,18,9,0,0,0,13484
170312512001,210,20,62,0,0,20,9,7,0,0,41,16,0,0,0,28,7,19997
170312512002,299,7,5,23,23,0,34,35,25,34,0,48,6,19,31,9,0,16384
170312512003,192,0,0,0,48,10,19,10,14,15,15,11,19,0,0,31,0,21125
170312512004,414,8,12,12,27,86,43,6,45,50,14,74,18,19,0,0,0,11147
170312513001,352,47,0,45,46,49,12,14,9,0,32,0,35,34,0,17,12,19642
170312513002,236,27,0,8,64,14,48,0,9,0,0,49,0,17,0,0,0,12918
170312513003,247,24,29,71,17,9,0,10,0,0,19,36,9,14,9,0,0,13798
170312513004,307,49,18,31,0,32,21,0,20,0,7,82,38,5,4,0,0,18300
170312513005,363,76,39,15,27,79,29,8,11,0,0,0,25,43,0,0,11,14611
170312514001,310,62,0,0,17,25,37,12,51,11,12,36,38,0,9,0,0,12740
170312514002,170,19,33,8,0,11,27,0,16,0,0,20,0,8,12,8,8,20044
170312514003,596,65,60,46,101,19,0,46,59,47,58,14,61,8,0,12,0,16721
170312514004,681,159,38,22,149,72,10,29,35,33,16,9,50,12,16,23,8,18721
170312515001,261,66,31,34,19,0,23,33,0,0,0,38,0,0,0,0,17,29625
170312515002,231,31,18,31,11,21,0,33,0,22,17,16,0,31,0,0,0,10877
170312515003,410,88,86,47,31,0,52,20,0,7,12,18,42,0,0,7,0,10523
170312515004,483,120,31,47,40,0,30,0,22,19,46,22,0,74,0,0,32,19663
170312516001,379,15,15,9,23,15,91,32,13,95,27,0,25,4,0,0,15,19448
170312516002,273,57,0,9,52,0,16,21,0,0,27,24,41,14,0,12,0,15680
170312516003,399,92,39,4,6,69,36,0,41,0,21,18,61,0,12,0,0,10951
170312517001,368,83,5,21,43,57,13,42,5,11,18,26,21,12,11,0,0,11327
170312518001,470,201,59,65,46,22,17,21,10,0,23,0,0,0,0,0,6,7371
170310615001,773,18,16,13,7,4,11,16,14,5,77,62,89,112,89,85,155,66438
170310618001,722,72,32,9,46,15,38,32,48,11,61,45,155,97,34,17,10,39985
170310619011,492,25,0,32,0,0,0,0,15,32,58,81,145,42,31,16,15,55596
170310619012,660,90,0,16,0,18,0,68,85,0,0,90,73,84,90,15,31,47917
