GEOID,total,less_10,between_10-15,between_15-20,between20-25,between_25-30,between_30-35,between_35-40,between_40-45,between_45-50,between_50-60,between_60-75,between_75-100,between_100-125,between_125-150,between_150-200,over_200,capita,ln_capita,population
17031190800,2029,94,102,95,178,252,92,279,112,44,223,308,108,91,8,0,43,15294,9.63521587360417,7297
17031190900,627,115,0,0,39,81,17,94,0,52,5,43,135,39,4,3,0,15911,9.674765972907856,2007
17031191000,599,75,60,8,43,0,20,125,0,0,52,154,56,6,0,0,0,12356,9.421897054038473,2263
17031191100,2077,100,172,212,231,141,123,160,66,147,208,173,243,16,37,48,0,12449,9.429395577381786,8249
17031191200,943,76,151,37,137,59,63,25,83,94,23,55,103,16,14,0,7,10523,9.261318616740812,3804
17031200100,1309,66,17,68,85,236,81,56,99,99,50,84,178,52,91,38,9,17897,9.792388380017409,4492
17031200200,1676,77,44,178,74,130,172,30,23,152,178,287,149,94,56,24,8,17448,9.766980307881465,5552
17031200300,669,56,88,43,47,44,12,11,64,30,44,95,94,0,41,0,0,14739,9.5982523208367585,2241
17031210100,1460,92,21,41,48,96,54,47,173,56,130,190,200,110,80,41,81,24341,10.099917450331914,4660
17031210400,901,67,55,86,65,20,54,65,114,59,68,75,146,0,0,18,9,18855,9.844533409692458,2415
17031210700,1702,49,91,87,121,210,49,131,52,78,239,174,149,185,48,30,9,20721,9.938902957757083,4939
17031210800,445,62,20,54,12,0,0,24,17,22,21,38,105,61,9,0,0,17952,9.795456808322422,1450
17031210900,1221,83,11,85,42,78,95,120,10,77,121,108,102,138,61,59,31,26879,10.199100591564108,3076
17031220300,1038,53,8,52,77,45,34,16,33,69,50,258,153,56,21,88,25,28660,10.263257701382162,2648
17031220400,1267,78,83,75,58,117,85,36,25,41,80,134,177,99,92,36,51,32968,10.403292673018653,2741
17031220500,1286,97,61,12,0,40,72,38,53,20,91,182,169,112,115,180,44,37759,10.538979136857908,3119
17031221000,1059,110,114,110,62,61,64,74,64,28,59,99,139,75,0,0,0,17548,9.772695262286105,2726
17031221100,2069,173,144,151,221,106,182,163,115,58,194,116,275,112,24,0,35,17123,9.748177867988971,6034
17031221200,1038,38,68,68,34,108,34,52,35,59,67,99,116,192,0,21,47,30177,10.314835323802448,2472
17031221300,1275,118,119,100,44,84,126,108,49,71,30,148,61,75,62,42,38,24546,10.108304187157454,3035
17031221400,1074,103,93,0,101,71,113,60,55,60,47,147,127,24,11,51,11,19136,9.859326656750358,3092
17031221500,1559,202,173,121,59,48,63,57,39,61,75,154,230,187,56,19,15,26752,10.194364515884429,3508
17031221600,1404,53,9,37,72,63,48,46,28,126,129,247,138,140,87,53,128,47841,10.775638291416081,2726
17031222200,995,42,22,2,48,78,5,20,24,27,66,67,122,67,66,180,159,61647,11.02917984560798,2075
17031222500,571,51,9,83,30,26,118,0,34,9,36,54,30,45,42,0,4,18921,9.84802769533176,1549
17031222600,714,103,56,13,73,49,103,50,93,25,69,10,0,0,54,0,16,19606,9.883590920821671,1665
17031222700,818,123,100,87,0,50,8,58,93,89,33,8,61,58,0,39,11,13037,9.47554674766278,3116
17031222800,361,97,61,30,72,0,11,0,76,0,0,7,7,0,0,0,0,9758,9.185842740375783,936
17031222900,367,10,20,45,59,0,0,33,0,35,61,40,9,31,11,13,0,13155,9.484557193474393,1627
17031230100,632,128,38,9,10,92,13,41,9,43,44,104,64,8,22,7,0,16594,9.716796463224231,1943
17031230200,534,55,15,52,13,58,0,0,48,65,28,80,32,28,46,6,8,18768,9.839908570893257,1615
17031230300,279,49,0,10,61,9,10,41,39,0,35,0,16,0,0,9,0,9419,9.150484204822817,1241
17031230400,778,126,31,34,30,145,58,48,22,70,15,60,52,60,27,0,0,13538,9.513255825068553,2585
17031230500,1016,212,176,109,105,30,63,39,50,51,34,33,78,0,36,0,0,11032,9.308555419473137,3019
17031230600,1948,230,61,153,224,204,173,66,72,57,76,281,137,95,75,30,14,16481,9.70996348123418,6778
17031230700,1794,311,114,140,210,116,98,75,147,131,89,91,115,93,19,45,0,12139,9.404178688897805,6403
17031230800,397,37,0,55,13,25,40,9,48,32,42,0,43,12,28,13,0,12902,9.465137617092187,1751
17031230900,1807,280,284,66,89,114,179,26,92,95,93,151,213,48,15,53,9,14322,9.569552095566886,5920
17031231100,420,132,0,28,87,25,11,14,11,0,33,48,31,0,0,0,0,11149,9.319105086767571,1230
17031231200,2037,504,231,128,155,64,124,124,172,110,29,140,133,68,17,0,38,11598,9.358587948436385,6820
17031231500,1955,377,252,283,330,95,84,104,99,56,90,67,25,37,0,32,24,11932,9.386979145634639,5624
17031240200,876,60,155,12,14,28,0,46,48,23,35,25,102,125,40,48,115,55510,10.924318463684207,1661
17031240300,682,10,25,0,10,0,11,8,43,12,72,83,121,47,44,104,92,85315,11.354105567961366,1221
17031240500,1107,32,14,0,11,21,52,29,21,28,67,113,101,130,76,242,170,66475,11.104581216111221,2162
17031240600,533,70,34,0,17,0,0,12,0,10,39,62,89,55,76,20,49,34945,10.461530675911229,1398
17031240700,549,33,9,42,24,23,44,52,61,34,52,50,27,52,0,8,38,22607,10.02601487181582,1737
17031240800,697,104,38,45,75,51,90,29,35,37,41,35,10,77,20,10,0,16251,9.69590972432601,1963
17031240900,412,45,79,48,0,10,32,9,38,0,29,49,18,0,27,28,0,16890,9.734477009801846,1332
17031241000,789,259,50,60,49,11,75,18,25,13,48,26,23,24,84,24,0,14436,9.577480365762678,2607
17031241100,1591,148,65,93,118,11,143,57,71,66,268,163,168,58,68,47,47,23311,10.056680631152522,4352
17031241200,812,91,78,44,21,27,31,25,0,18,43,82,71,44,151,69,17,35895,10.488353289010583,1847
17031241300,771,119,25,7,57,14,0,9,27,23,30,33,119,85,53,83,87,43844,10.688393158335614,1817
17031241400,2320,296,145,55,14,221,37,23,89,69,86,133,314,270,150,141,277,46030,10.737048636811288,4858
17031241500,1330,58,58,44,41,86,52,29,12,55,136,40,134,98,108,144,235,51620,10.851664473272605,3189
17031241600,1686,53,109,92,74,151,55,73,44,70,75,152,232,186,97,140,83,36278,10.498966775917914,4054
17031242000,2091,431,193,68,106,34,16,114,57,130,164,146,174,123,147,61,127,34341,10.444095254586585,4414
17031242100,1676,109,40,74,66,9,49,54,66,58,177,173,172,109,97,161,262,53040,10.878801624859744,3409
17031242200,1896,73,32,62,173,88,71,77,161,97,109,229,256,126,59,112,171,44087,10.693920233396923,4097
17031242300,1875,112,70,10,77,182,79,32,84,124,100,294,275,125,67,98,146,44774,10.709382892787827,3718
17031242400,1408,82,75,19,31,57,63,23,60,191,41,264,166,80,66,139,51,39581,10.586104484122892,2857
